name,gender
"Ahmed, M Meraj",M
"Ahmed, Maruf",F
"Ahmed, Pritom",M
"Ahmed, Salah",M
"Ahn, Dong H.",M
"Ahn, Ethan C.",M
"Ahn, Gail-Joon",M
"Ahn, Jaehyung",M
"Ahn, Jung Ho",M
"Ahrens, James",M
"Ai, Qingyao",M
"Ai, Zhiyuan",M
"Aida, Kento",M
"Aiello, Luca Maria",M
"Aiello, Marco",M
"Aiken, Alex",M
"Ailamaki, Anastasia",F
"Ainsworth, Mark",M
"Aiyar, Srinivas",M
"Ajay, Jerry",M
"Ajdari, Mohammadamin",M
"Aji, Ashwin",M
"Akaki, Seiya",NA
"Akaria, Islam",M
"Akata, Zeynep",F
"Akbudak, Kadir",M
"Akella, Aditya",M
"Akella, Venkatesh",M
"Aken, Dana Van",F
"Akgun, Itir",F
"Akin, Berkin",M
"Akkus, Istemi Ekin",M
"Akoglu, Ali",M
"Akoglu, Leman",F
"Akram, Riad",M
"Aksenov, Vitaly",M
"Aktaş, Mehmet Fatih",M
"Aktolga, Elif",F
"Akturk, Ismail",M
"Al-Fuqaha, Ala",M
"Al-Hawaj, Khalid",M
"Al-Kiswany, Samer",M
"Al-Rawi, Asma",F
"Al-Shaer, Ehab",M
"Alabi, Daniel",M
"Alachiotis, Nikolaos",M
"Alagappan, Ramnatthan",M
"Alaghi, Armin",M
"Alam, Hanna",M
"Alam, Mejbah Ul",M
"Alam, Monjur",M
"Alam, Sadaf R.",F
"Alameldeen, Alaa",M
"Alapati, Praveen",M
"Alarcon, Sonia",F
"Alay, Özgü",F
"Albarghouthi, Aws",M
"Albayram, Yusuf",M
"Albericio, Jorge",M
"Albers, Susanne",F
"Albonesi, David",M
"Alcantara, Joel",M
"Aldinucci, Marco",M
"Aldrich, Jonathan",M
"Alduaij, Naser",M
"Aldweesh, Amjad",M
"Alexeev, Yuri",M
"Alforov, Yevhen",M
"Alfredsson, Stefan",M
"Alglave, Jade",F
"Alhassoun, Nailah",F
"Ali, Karim",M
"Ali-Eldin, Ahmed",M
"Alian, Mohammad",M
"Alimohammadifar, Amir",M
"Alipour, Mehdi",M
"Alipourfard, Omid",M
"Alistarh, Dan",M
"Alizadeh, Mohammad",M
"Allalen, Momme",M
"Allan, James",M
"Allcock, William",M
"Allen, Gabrielle Dawn",F
"Allen, Tyler",M
"Allman, Mark",M
"Allodi, Luca",M
"Almakhdhub, Naif Saleh",M
"Almasi, Gheorghe",M
"Almeida, Francisco",M
"Almeida, José Bacelar",M
"Almeida, Jussara",F
"Almgren, Ann",F
"Almgren, Magnus",M
"Almudever, Carmen G.",F
"Alonso, Gustavo",M
"Alonso, Omar",M
"Alshboul, Mohammad",M
"Alshenibr, Leen",F
"Alsop, Johnathan",M
"Alsudais, Azzam",M
"Alt, Samantha",F
"Altaf, Muhammad Shoaib Bin",M
"Althoff, Tim",M
"Altingovde, Ismail Sengor",M
"Altintas, Ilkay",F
"Altman, Erik",M
"Altmann, Jorn",M
"Altıntaş, Ervin",M
"Alur, Rajeev",M
"Aluru, Srinivas",M
"Alvares, Alberto Jose",M
"Alvarez, Gonzalo P. Rodrigo",M
"Alvaro, Peter",M
"Alviano, Mario",M
"Alvisi, Lorenzo",M
"Alwen, Joel",M
"Amann, Johanna",F
"Amano, Hideharu",M
"Amaral, José Nelson",M
"Amaral, Marcelo Carneiro Do",M
"Amaral, Vasco",M
"Amarasinghe, Saman",M
"Amarilli, Antoine",M
"Amaro, Emmanuel",M
"Amarís, Marcos",M
"Amato, Nancy",F
"Ambrona, Miguel",M
"Amer, Abdelhalim",M
"Amer, Halim",M
"Ames, Scott",M
"Amigó, Enrique",M
"Amin, Tanvir Al",M
"Amini, Massih-Reza",M
"Amiri, Ardalan",M
"Amit, Nadav",M
"Ammar, Mostafa",M
"Amorim, Luís Eduardo De Souza",M
"Amrizal, Muhammad Alfian",M
"Amsterdamer, Yael",F
"Amza, Cristiana",F
"An, Aijun",F
"An, Yujie",M
"Anagnostopoulos, Aris",M
"Anand, Saswat",M
"Ananthanarayanan, Ganesh",M
"Anciaux, Nicolas",M
"Ancona, Davide",M
"Andelfinger, Philipp",M
"Andersen, David G.",M
"Anderson, Michael R.",M
"Anderson, Thomas",M
"Ando, Hideki",M
"Ando, Shin",M
"Andonov, Rumen",M
"Andriesse, Dennis",M
"Andriotis, Panagiotis",M
"Andritsos, Periklis",M
"Andronidis, Anastasios",M
"Andrus, Jeremy",M
"Andrzejak, Artur",M
"Ang, Lynn",F
"Angelino, Elaine",F
"Angepat, Hari",M
"Anghel, Andreea",F
"Angstadt, Kevin",M
"Angulo, Gustavo",M
"Anirudh, Rushil",M
"Annavaram, Murali",M
"Ansari, Amin",M
"Anta, Antonio Fernandez",M
"Antao, Samuel",M
"Antichi, Gianni",M
"Antonakakis, Manos",M
"Antoniades, Marco A.",M
"Antoniadis, Antonios",M
"Antonie, Luiza",F
"Antoniu, Gabriel",M
"Antonopoulos, Timos",M
"Antova, Lyublena",F
"Antypas, Katerina",F
"Antypas, Katie",F
"Anzt, Hartwig",M
"Ao, Yulong",M
"Aoki, Takayuki",M
"Apon, Amy",F
"Apostolaki, Maria",F
"Appel, Andrew W.",M
"Appice, Annalisa",F
"Appini, Mahathi Priya",F
"Appuswamy, Raja",M
"Apra, Edoardo",M
"Apte, Varsha",F
"Aqil, Azeem",M
"Arab, Bahareh Sadat",F
"Arabnejad, Hamid",M
"Aracil, Javier",M
"Arafa, Pansy",F
"Aragon, Juan Luis",M
"Araki, Toshinori",M
"Arampatzis, Avi",M
"Arapakis, Ioannis",M
"Arasu, Arvind",M
"Araujo, Guido",M
"Araujo, Miguel Ramos De",M
"Arbenz, Peter",M
"Arcaute, Esteban",M
"Archer, Charles",M
"Ardagna, Danilo",M
"Ardalani, Newsha",F
"Ardanaz, Federico",M
"Ardekani, Masoud Saeida",M
"Arden, Owen",M
"Aref, Walid",M
"Arelakis, Angelos",M
"Arguello, Jaime",M
"Argyraki, Katerina",F
"Argyros, George",M
"Ariola, Zena M.",F
"Arjomand, Mohammad",M
"Arlitt, Martin",M
"Armbrust, Michael",M
"Arnau, Jose Maria",M
"Arnautov, Sergei",M
"Arndt, Oliver Jakob",M
"Arnold, Dorian",M
"Aroca, Jordi Arjona",M
"Arora, Aashray",M
"Arora, Akhil",M
"Arora, Sudhansku",M
"Arora, Vaibhav",M
"Arora, Varun",M
"Arpaci-Dusseau, Andrea",F
"Arpaci-Dusseau, Remzi",M
"Arroyo-Paredes, Yulissa",F
"Arshad, Sajjad",M
"Arshad, Sheheryar",M
"Arslan, Engin",M
"Arteaga, Jaime",M
"Arteca, Ellen",F
"Arthur, William",M
"Arulraj, Joy",M
"Arulraj, Leo",M
"Arumaithurai, Mayutan",M
"Arun, Venkat",M
"Arunkumar, Akhil",M
"Arvind, ",M
"Asaad, Sameh",M
"Asadi, Hossein",M
"Asanoviç, Krste",M
"Asenjo, Rafael",M
"Asgari, Bahar",F
"Asghari-Moghaddam, Hadi",M
"Ashraf, Imran",M
"Asipov, Boris",M
"Askarov, Aslan",M
"Aslam, Javed",M
"Aslantas, Cansu",F
"Asokan, N.",M
"Aspnes, James",M
"Assadi, Sepehr",M
"Assasa, Hany",M
"Assent, Ira",F
"Assouline, Jonathan",M
"Assuncao, Renato",M
"Asudeh, Abolfazl",M
"Ataei, Parisa",F
"Atasu, Kubilay",M
"Ateniese, Giuseppe",M
"Ates, Emre",M
"Athanasopoulos, Elias",M
"Athanassoulis, Manos",M
