name,gender
"Chen, Yawen",F
"Chen, Yi",F
"Chen, Yichen",M
"Chen, Yiling",F
"Chen, Yiran",M
"Chen, Yubo",M
"Chen, Yueyang",M
"Chen, Yun",F
"Chen, Yunan",F
"Chen, Yunjin",M
"Chen, Yurong",M
"Chen, Yutian",M
"Chen, Yuting",F
"Chen, Yuxiao",M
"Chen, Zhen",M
"Chen, Zhengzhang",M
"Chen, Zhenyu",M
"Chen, Zhi",M
"Cheng, Cheng",M
"Cheng, Chih-Hong",M
"Cheng, Chin-Yi",M
"Cheng, Ching-An",M
"Cheng, Danpeng",M
"Cheng, Feng",M
"Cheng, Gong",M
"Cheng, Hong",F
"Cheng, Hsien-Tzu",M
"Cheng, Jian",M
"Cheng, Jinghui",M
"Cheng, Kewei",F
"Cheng, Li",M
"Cheng, Lung-Pan",M
"Cheng, Ming-Ming",M
"Cheng, Peng",M
"Cheng, Wen-Haung",M
"Cheng, Yanhua",M
"Cheng, Yihang",
"Cheng, Yong",M
"Cheng, Yu",M
"Cheng, Yunnuo",F
"Cheng, Zhi-Qi",M
"Cheshire, Coye",M
"Cheung, Ming",M
"Cheung, Ngai-Man",M
"Cheung, Shing-Chi",M
"Cheung, Sky",F
"Cheung, Yiu-Ming",M
"Chiang, Chao-Kai",M
"Chichilnisky, E.J.",M
"Chien, Shao-Yi",M
"Chieu, Hai Leong",M
"Ching, Dixie",F
"Chintala, Soumith",M
"Chitta, Radha",F
"Chiu, Wei-Chen",M
"Chlamtac, Eden",M
"Cho, Daeki",M
"Cho, Kyunghyun",M
"Cho, Minhyung",M
"Choe, Eun Kyoung",F
"Choetkiertikul, Morakot",M
"Choi, Eunsol",F
"Choi, Jin Young",M
"Choi, Jueun",F
"Choi, Seungjin",M
"Choi, Yi-King",M
"Chong, Min Jin",M
"Choudhury, Munmun De",F
"Chu, Duc-Hiep",M
"Chu, Jieyu",
"Chua, Tat-Seng",M
"Chuang, Ming",F
"Chung, Chia-Fang",F
"Clark, Gradeigh D.",M
"Clémençon, Stéphan",M
"Clementi, Andrea",M
"Cohen, Andrea",F
"Cohen, Ilan",M
"Cohen, Lihi",F
"Colley, Ashley",M
"Colombo, Nicolò",M
"Cong, Gao",M
"Cong, Yulai",M
"Connelly, Kay",F
"Consolvo, Sunny",F
"Courant, Nathanaël",M
"Coutinho, Flávio Roberto Dos Santos",M
"Covell, Michele",M
"Coveney, Ashley",F
"Cruz-Filipe, Luís",M
"Cuevas, Ángel",M
"Cuevas, Rubén",M
"Cufi, Xefi",M
"Cui, Peng",M
"Cui, Runpeng",M
"Cui, Wei",M
"Cui, Yin",M
"Cui, Zhen",M
"Cullen, Breda",F
"Culpepper, J. Shane",M
"Curticapean, Radu",M
"Dai, Bo",M
"Dai, Qionghai",M
"Dai, Xiyang",M
"Dai, Yuanshun",M
"Dai, Zihang",M
"Dam, Hoa Khanh",M
"Dao, Thi-Bich-Hanh",F
"Dao, Tri",M
"Das, Hirakendu",M
"Das, Syamantak",M
"Dasgupta, Sakyasingha",M
"Dasgupta, Sayamindu",M
"Daskalova, Nediyana",F
"Datta, Soumya Kanti",
"Davani, Sina Gholamnejad",F
"Davis, Abe",M
"Davis, Clodoveu A.",M
"Davis, Hilary",F
"De, Anindya",M
"De, Soham",M
"Dehghani, Sina",M
"Delden, Robby Van",M
"Dell, Nicola",F
"Delong, Lois",F
"Delyser, Leigh Ann",F
"Deng, Alex",M
"Deng, Bing",
"Deng, Chao",M
"Deng, Cheng",M
"Deng, Jia",M
"Deng, Li",M
"Deng, Liang-Jian",M
"Deng, Lixi",
"Deng, Teng",
"Deng, Weihong",M
"Deng, Weiwei",M
"Deng, Yuan",M
"Deng, Yunhua",
"Deng, Yuntian",M
"Deng, Zhijie",M
"Deng, Zhiwei",M
"Deng, Zhuo",M
"Denil, Misha",M
"Deutsch, Shay",M
"Dey, Debadeepta",M
"Dhillon, Inderjit",M
"Dhillon, Inderjit S",M
"Dhillon, Inderjit S.",M
"Dieng, Adji Bousso",F
"Dietrich, Sam",M
"Dilkina, Bistra",F
"Dillahunt, Tawanna R.",F
"Dimakis, Alex",M
"Ding, Bolin",M
"Ding, Chris",M
"Ding, Cong",
"Ding, Errui",M
"Ding, Guiguang",M
"Ding, Hu",M
"Ding, Nan",M
"Ding, Yi",F
"Ding, Ying",F
"Ding, Yu",M
"Dinh, Vu",M
"Do, Minh",M
"Do, Minh N.",M
"Do, Thanh-Toan",M
"Donahue, Chris",M
"Dong, Hao",M
"Dong, Kun",M
"Dong, Ming",M
"Dong, Peilei",
"Dong, Siyuan",M
"Dong, Weishan",M
"Dong, Wen",M
"Dong, Xin",M
"Dong, Xiwei",M
"Dong, Xuanyi",M
"Dong, Yihuan",M
"Dong, Yinpeng",M
"Dong, Yue",F
"Dong, Zhen",M
"Dong, Zhongqian",
"Donini, Michele",M
"Doshi-Velez, Finale",F
"Doshi, Tulsee",F
"Dou, Yong",
"Du, Bo",M
"Du, Fan",M
"Du, Hongzhuang",
"Du, Junping",M
"Du, Lan",M
"Du, Nan",M
"Du, Xiaoyu",M
"Du, Yang",M
"Du, Yue Li",F
"Du, Yulun",M
"Duan, Ling-Yu",M
"Duan, Ran",M
"Duan, Yan",M
"Duan, Zhenyu",M
"Duanmu, Zhengfang",
"Dubcek, Tena",F
"Dughmi, Shaddin",M
"Dun, Xiong",F
"Dünner, Celestine",F
"Durand, Frédo",M
"Dutta, Abhratanu",M
"Dwyer, Hilary",F
"Dye, Michaelanne",F
"Dyer, Chris",M
"Dzirasa, Kafui",M
"Edgcomb, Alex",M
"Edwards, W. Keith",M
"El-Yaniv, Ran",M
"Elazar, Shay Ben",M
"Eldar, Lior",M
"Elsden, Chris",M
"Englebienne, Gwenn",F
"Erev, Ido",M
"Erhan, Dumitru",M
"Etemad, S. Ali",M
"Eun, Yongsoon",M
"Evain, Andéol",M
"Fan, Chengdiao",F
"Fan, Chenyou",M
"Fan, Heng",M
"Fan, Lijie",M
"Fan, Linxi",M
"Fan, Lixin",M
"Fan, Mengdi",F
"Fan, Min",F
"Fan, Mingyu",M
"Fan, Shaojing",F
"Fan, Wei",M
"Fan, Xiangmin",M
"Fan, Xin",M
"Fan, Yanbo",M
"Fan, Ying",F
"Fan, Yong",M
"Fan, Zhou",M
"Fang, Chen",M
"Fang, Cong",M
"Fang, Le",M
"Fang, Leyuan",M
"Fang, Quan",
"Fang, Xiu Susie",F
"Fang, Yi",M
"Farahmand, Amir-Massoud",M
"Farina, Gabriele",M
"Fawcett, Chris",M
"Fei-Fei, Li",F
"Feldman, Moran",M
"Felix, Huziel Enoc Sauceda",M
"Felner, Ariel",M
"Feng, Bosi",M
"Feng, Chen",M
"Feng, Fuli",M
"Feng, Ji",M
"Feng, Jing",F
"Feng, Lizhou",
"Feng, Wenxin",F
"Feng, Yang",M
"Feng, Yu",M
"Feng, Yuan",M
"Feng, Zhen-Hua",M
"Fennell, Chris",M
"Feragen, Aasa",F
"Fernando, Basura",M
"Fiete, Ila",F
"Finn, Chelsea",F
"Fischer, Anath",F
"Fitzpatrick, J Michael",M
"Flammini, Michele",M
"Fleming, Noah",M
"Flora, Parminder",F
"Florian, Radu",M
"Flur, Shaked",M
"Folmer, Eelke",M
"Foong, Eureka",F
"Foong, Pin Sym",F
"Forlizzi, Jodi",F
"Forlizzi, Jodi L.",F
"Foster, Nate",M
"Fout, Alex",M
"Françoise, Jules",M
"Fraser, C. Ailie",F
"Frellsen, Jes",M
"Friedman, Batya",F
"Fu, Hao",M
"Fu, Huazhu",M
"Fu, Wai-Tat",M
"Fu, Wei",M
"Fu, Xiao",M
"Fu, Xiaoming",M
"Fu, Xin",F
"Fu, Xueyang",M
"Fu, Yanwei",M
"Fu, Yun",M
"Fukunaga, Alex",M
"Gabizon, Ariel",M
"Gai, Wei",M
"Gal, Yarin",M
"Gálvez, Tomás Vega",M
"Gan, Chuang",M
"Gan, Jiarui",M
"Gan, Quan",M
"Gan, Zhe",M
"Ganapathy, Nar",M
"Ganguli, Surya",M
"Gao, Chang",M
"Gao, Feng",M
"Gao, Ge",F
"Gao, Jiawei",F
"Gao, Jie",F
"Gao, Jing",F
"Gao, Jun",M
"Gao, Junyan",
"Gao, Junyu",M
"Gao, Ke",M
"Gao, Li",M
"Gao, Ming",M
"Gao, Mingyong",M
"Gao, Peng",M
"Gao, Quanxue",M
"Gao, Shaobing",M
"Gao, Shenghua",M
"Gao, Tian",M
"Gao, Wen",M
"Gao, Wenbo",M
"Gao, Xianyi",M
"Gao, Xin",M
"Gao, Xinbo",M
