name,gs_email,s2aid,s2npubs
Guoxin Liu,@g.clemson.edu,2656336,48
Susanne Albers,@in.tum.de,1750155,192
Grey Ballard,@wfu.edu,1737715,59
Runtian Ren,@e.ntu.edu.sg,3427420,4
Xueyan Tang,,1736579,130
Yoann Dieudonne,,3151672,38
Andrzej Pelc,@uqo.ca,1808444,264
Colin Cooper,,2724204,295
Tomasz Radzik,,2526035,81
Nicolás Rivera,@kcl.ac.uk,2242239,16
Maurice Herlihy,@cs.brown.edu,1744502,294
Miroslav Popovic,,3134838,95
Yuxiong He,@microsoft.com,1772774,69
Sameh Elnikety,@microsoft.com,1767761,70
Hamidreza Jahanjou,@ccs.neu.edu,2201690,7
Erez Kantor,@umass.edu,1779560,38
Rajmohan Rajaraman,@ccs.neu.edu,1696669,101
Sudipto Guha,@cis.upenn.edu,1679363,162
Yi Li,@umich.edu,2496686,1424
He Sun,@ed.ac.uk,1828907,104
Luca Zanetti,@bristol.ac.uk,2838505,10
Yossi Azar,@tau.ac.il,1684176,195
Danny Vainstein,,20719254,3
Pierre Fraigniaud,@liafa.univ-paris-diderot.fr,1685849,236
Dennis Olivetti,,1880491,13
Richard Cole,@cs.nyu.edu,2622807,321
Vijaya Ramachandran,@cs.utexas.edu,1678824,199
Vincent Chau,,1917004,86
Minming Li,,33099410,124
Samuel Mccauley,@itu.dk,3055569,22
Wang Kai,@my.cityu.edu.hk,1728316,1272
Björn Feldkord,,7468259,5
Friedhelm Meyer auf der Heide,@upb.de,1732130,208
Shahbaz Khan,@cse.iitk.ac.in,34316056,75
Stefan Dobrev,,1699666,85
Manuel Lafond,@uottawa.ca,2652176,34
Lata Narayanan,@cs.concordia.ca,1704652,104
Jaroslav Opatrny,,1759125,88
Alexander Mäcker,,2319507,10
Sören Riechers,,2608167,14
Alexander Skopalik,@mail.upb.de,1800890,38
Elaye Karstadt,,20851040,1
Oded Schwartz,@cs.huji.ac.il,14411446,50
Laxman Dhulipala,@cs.cmu.edu,35221280,4
Guy Blelloch,@cs.cmu.edu,1717462,219
Julian Shun,@mit.edu,2045944,38
Zhiyu Liu,,2646773,105
Irina Calciu,@vmware.com,1801923,12
Riko Jacob,@itu.dk,1779294,71
Nodari Sitchinava,@hawaii.edu,1731269,40
William C. Anderton,,17273699,2
Maxwell Young,@cse.msstate.edu,1832296,39
Mohammad Hossein Bateni,@cs.princeton.edu,1949001,39
Hossein Esfandiari,@cs.umd.edu,2266873,31
Rezaul Chowdhury,@cs.stonybrook.edu,7536938,67
Pramod Ganapathi,,2606471,14
Yuan Tang,@fudan.edu.cn,32011355,166
Jesmin Jahan Tithi,@cs.stonybrook.edu,2168897,20
Victor Luchangco,,2182186,70
Chui-Hui Chiu,,2201537,11
Dipak Kumar Singh,,11009181,7
Qingyang Wang,@csc.lsu.edu,34660837,94
Seung-Jong Park,@cct.lsu.edu,2794114,55
kyuho Jeong,@acis.ufl.edu,34835713,19
Renato Figueiredo,@acis.ufl.edu,1680675,160
Kohei Ichikawa,@is.naist.jp,3272945,66
Yuan Haitao,@bjtu.edu.cn,34825854,43
Bi Jing,,2344116,114
Jia Zhang,,2424969,452
Tan Wei,@us.ibm.com,46998284,96
Huang Keman,@mit.edu,1746012,43
Chao Li,,1679961,1020
Balaji Palanisamy,@pitt.edu,1724566,55
Nhan Nguyen,,3403985,101
Mohammad Maifi Hasan Khan,@engr.uconn.edu,2209601,36
Yusuf Albayram,,2815999,12
Kewen Wang,,34241570,137
Swapna Gokhale,,1724704,166
Ridwan Rashid Noel,@my.utsa.edu,32008801,3
Palden Lama,@utsa.edu,34718613,24
Carlo Di Giulio,,22511249,4
Read Sprabery,@illinois.edu,2493219,9
Masooda Bashir,,32621916,5
Mehdi Azarmi,@purdue.edu,2093805,9
Bharat Bhargava,@purdue.edu,1712275,391
Hung Dang,@comp.nus.edu.sg,4353261,57
Ee-Chien Chang,@comp.nus.edu.sg,1781271,119
Qiang He,@swin.edu.au,1720370,223
Xiaodong Zhu,@usst.edu.cn,40383517,291
Dongwei Li,,2752395,72
Shuliang Wang,,2220166,78
Jun Shen,@uow.edu.au,39404298,397
Yun Yang,@swin.edu.au,1682341,843
Langshi Chen,,2138705,12
Bo Peng,@indiana.edu,40215595,178
Bingjing Zhang,@indiana.edu,1745132,27
Tony Liu,,15460867,17
Yiming Zou,@iu.edu,3429259,4
Judy Qiu,@indiana.edu,36199155,104
Zhang Zhang,@west.cmu.edu,40521852,177
Robert Henschel,,1960393,39
Craig Stewart,,1709841,50
Emily Mccallum,,4646807,15
Zahniser Tom,,25100533,1
Omer Jon,,31862326,4
Zixia Liu,,1922658,7
Kyungyong Lee,@acis.ufl.edu,2793216,32
Myungjun Son,,25132893,1
Chun Cao,,2893798,83
Weiyi Wang,,2662643,104
Ying2 Zhang,@smail.nju.edu.cn,1720117,2446
Xiaoxing Ma,@nju.edu.cn,1695090,124
Ben Hu,,2001877,20
Huaimin Wang,,1694557,253
Pengfei Zhang,,37575268,154
Bo Ding,,1689910,229
Huimin Che,,2712459,4
Chungheon Yi,,25137425,1
Wonik Choi,,7378917,21
Youngjun Jeon,,4346918,3
Fuliang Li,,7280145,55
Xingwei Wang,,1692648,455
Yinchu Sun,,2302799,4
Yi Wang,,1734275,1970
Ye Xia,,35423240,72
Kisung Lee,@lsu.edu,1899648,95
Fanjing Meng,,32265711,25
Xiao Zhang,@stu.xjtu.edu.cn,2358097,898
Pengfei Chen,@eng.ucsd.edu,34650131,126
Jingmin Xu,,40011770,249
Arghya Kusum Das,,14069534,18
Jaeki Hong,,2251551,4
Sayan Goswami,,3452118,4
Richard Platania,,2302382,15
Wooseok Chang,,2357986,6
Zhou Fang,,3045749,146
Mulong Luo,@cs.ucsd.edu,2264850,22
Mani B. Srivastava,@ucla.edu,1702254,381
Rajesh K. Gupta,@ucsd.edu,1728598,219
Shiping Chen,@csiro.au,1806110,207
Fan Yao,@gwu.edu,34774340,66
Jingxin Wu,,2169805,11
Suresh Subramaniam,@email.gwu.edu,1734723,181
Guru Venkataramani,@email.gwu.edu,2836326,37
Rich Wolski,,1682591,135
John Brevik,@online.no,1793260,65
Christian Nieke,,2610952,8
Wolf-Tilo Balke,@ifis.cs.tu-bs.de,1720266,165
Rina Nakazawa,,2896184,5
Kazunori Ogata,@jp.ibm.com,2800355,17
Seetharami Seelam,@us.ibm.com,6011944,37
Tamiya Onodera,@jp.ibm.com,1698545,41
Xiaoke Wang,,3391899,164
Franck Le,,1678308,45
Francis C. M. Lau,@cs.hku.hk,40618241,35
Artur Czumaj,@warwick.ac.uk,1717169,162
Peter Davies,,5354501,487
Boaz Patt-Shamir,,1707013,145
Will Rosenbaum,@mail.tau.ac.il,1951548,33
Seth Gilbert,@comp.nus.edu.sg,3758909,146
Fabian Kuhn,@informatik.uni-freiburg.de,1738955,175
Chaodong Zheng,@nju.edu.cn,3311176,8
Bernhard Haeupler,@cs.cmu.edu,1736596,100
Ellis Hershkowitz,@brown.edu,33352347,8
Goran Zuzic,,1719383,9
Keren Censor-Hillel,@cs.technion.ac.il,1785299,68
L. Elisa Celis,,3246450,38
Peter Krafft,@mit.edu,2025970,92
Nisheeth Vishnoi,,1810064,98
Kishori Konwar,@mit.edu,3143218,54
Prakash Narayana Moorthy,,145004899,0
Nancy Lynch,@csail.mit.edu,1739044,338
Muriel Medard,@mit.edu,1697407,485
Youer Pu,,33960217,4
Allen Clement,@cs.utexas.edu,32961575,51
Gregory Chockler,@rhul.ac.uk,1777264,72
Alexander Spiegelman,@campus.technion.ac.il,3234311,26
Sebastian Brandt,@cs.manchester.ac.uk,1889746,133
Juho Hirvonen,@aalto.fi,26604973,26
Janne H. Korhonen,@aalto.fi,3132681,25
Tuomo Lempiäinen,@aalto.fi,1680991,10
Patric R. J. Östergård,@aalto.fi,1709397,151
Christopher Purcell,@aalto.fi,30894501,14
Joel Rybicki,@helsinki.fi,3357676,19
Jukka Suomela,@aalto.fi,1710431,86
Przemyslaw Uznanski,@inf.ethz.ch,2343306,39
Orr Fischer,,40640498,6
Shay Gershtein,,12427017,13
Rotem Oshman,,1757695,35
Weiming Feng,@ntu.edu.tw,13360306,6
Yuxin Sun,,40477245,913
Yitong Yin,@nju.edu.cn,9489786,43
Mohsen Ghaffari,,1772752,95
Hsin-Hao Su,@umich.edu,39262594,45
Michael Elkin,@cs.bgu.ac.il,1785569,221
Reuven Bar-Yehuda,,1710738,71
Gregory Schwartzman,@cs.technion.ac.il,3384620,12
Leonid Barenboim,,1798546,26
Tzalik Maimon,,32572413,2
Ofer Freedman,,40518047,14
Pawel Gawrychowski,@cs.uni.wroc.pl,1683786,92
Patrick Nicholson,@cs.uwaterloo.ca,2970238,36
Oren Weimann,@cs.haifa.ac.il,1681527,64
Wojciech Golab,@uwaterloo.ca,1975156,39
Danny Hendler,@cs.bgu.ac.il,1718098,72
George Giakkoupis,@inria.fr,3031441,38
Philipp Woelfel,@ucalgary.ca,1769929,77
Alex Kogan,@oracle.com,32064267,47
Yossi Lev,@oracle.com,3142383,40
Asa Dan,,12343940,1
Yoram Moses,@ee.technion.ac.il,1688502,138
Sandeep Kulkarni,@cse.msu.edu,10146361,187
Nitin Vaidya,@illinois.edu,1688346,387
Justin Kopinsky,,2925872,8
Jerry Li,@mit.edu,2800851,39
Giorgi Nadiradze,,3202209,6
Trevor Brown,@cs.utoronto.ca,40310370,31
Thomas Dickerson,@cs.brown.edu,1779599,5
Rafael Pass,,1811683,176
Gadi Taubenfeld,@idc.ac.il,1690420,75
Robert Elsässer,@cosy.sbg.ac.at,1751058,75
Frederik Mallmann-Trenn,@sfu.ca,2385357,25
Emanuele Natale,@mpi-inf.mpg.de,1693545,22
David Yu Cheng Chan,,39768278,9
Vassos Hadzilacos,,2387538,69
Sam Toueg,,1729358,117
Karl Bringmann,@mpi-inf.mpg.de,2535238,77
Ralph Keusch,,2755722,7
Johannes Lengler,@inf.ethz.ch,2964328,44
Yannic Maus,,2957419,13
Anisur Molla,@cs.uni-freiburg.de,2255662,16
Taisuke Izumi,,1702108,117
Francois Le Gall,@is.s.u-tokyo.ac.jp,14027261,90
Gianluca De Marco,,1683962,32
Grzegorz Stachowiak,@cs.uni.wroc.pl,1678996,62
Hamed Omidvar,,2681026,5
Massimo Franceschetti,@ece.ucsd.edu,8904504,150
Michael Blondin,@in.tum.de,2569302,22
Javier Esparza,@in.tum.de,1722435,225
Stefan Jaax,,40264192,3
Philipp J. Meyer,,2254368,9
James Aspnes,@cs.yale.edu,1717410,151
Gonzalo P. Rodrigo Alvarez,@cs.umu.se,40545209,4
P-O Ostberg,@cs.umu.se,3117458,34
Lavanya Ramakrishnan,,1792683,72
Junhua Fang,,2375706,11
Rong Zhang,@sei.ecnu.edu.cn,2252093,863
Tom Z. J. Fu,@adsc.com.sg,1686139,32
Zhenjie Zhang,@adsc.com.sg,1723364,159
Aoying Zhou,,1696626,378
Junhua Zhu,,2849144,23
Samer Al-Kiswany,@uwaterloo.ca,2237748,40
Suli Yang,@cs.wisc.edu,2806362,9
Devarshi Ghoshal,@indiana.edu,40157196,17
Suren Byna,@lbl.gov,1749233,66
Jialin Liu,@lbl.gov,1685638,180
Disa Mhembere,@cs.jhu.edu,1727379,10
Da Zheng,@jhu.edu,2952749,36
Carey E. Priebe,@jhu.edu,1693972,173
Joshua T. Vogelstein,@jhu.edu,1717958,95
Xiaolong Xie,@pku.edu.cn,1965417,25
Wei Tan,@us.ibm.com,2700163,152
Liana Fong,@us.ibm.com,3343613,66
Yun Liang,@pku.edu.cn,1689247,70
Michal Podstawski,,18356904,1
Linus Groner,,10673368,3
Bo Fang,@ece.ubc.ca,38439596,119
Nathan Debardeleben,@lanl.gov,1775855,58
Karthik Pattabiraman,@ece.ubc.ca,1715185,100
Matei Ripeanu,@ece.ubc.ca,1747805,156
Jon Calhoun,,34862645,15
Luke Olson,@illinois.edu,2404759,51
William Gropp,@illinois.edu,1703559,330
Zhao Zhang,@tacc.utexas.edu,3747964,421
Evan R. Sparks,@cs.berkeley.edu,2540073,19
Michael J. Franklin,@uchicago.edu,1712149,326
Bo Li,@vt.edu,40371232,12
Edgar A. Leon,@cs.unm.edu,32757734,32
Zhengchun Liu,@anl.gov,3184437,39
Prasanna Balaprakash,@mcs.anl.gov,2760849,53
Rajkumar Kettimuthu,,9297377,98
Ian Foster,@uchicago.edu,1698701,666
Bing Xie,,1697183,209
Yezhou Huang,,1962156,2
Jay Lofstead,@sandia.gov,1772467,61
Sarp Oral,@ornl.gov,1770398,37
Nageswara Rao,@ornl.gov,1690710,256
Qiang Liu,,40197222,86
Satyabrata Sen,@ornl.gov,2495929,36
Don Towsley,@cs.umass.edu,1705427,559
Gayane Vardoyan,@cs.umass.edu,2545838,8
Marius Poke,@hlrs.de,1967881,6
Colin W. Glass,,2272728,42
Wei1 Zhang,,1726357,2268
Dmitry Duplyakin,,2474639,8
Varun Velamuri,,23144610,1
Vitaly Aksenov,,14653047,6
Vincent Gramoli,@sydney.edu.au,3345053,102
Petr Kuznetsov,@telecom-paristech.fr,5620508,114
Anna Malova,,2039113,5
Srivatsan Ravi,@isi.edu,40020483,28
Hoby Rakotoarivelo,,32808878,2
Franck Ledoux,@cea.fr,40446217,18
Franck Pommereau,@ibisc.univ-evry.fr,34640015,47
Nicolas Le-Goff,,2505423,14
Juan Salamanca,,39287913,6
José Nelson Amaral,@ualberta.ca,1694548,119
Hassan Halawa,@aucegypt.edu,3437947,8
Hazem Abdelhafez,@ece.ubc.ca,18135403,2
Andrew Boktor,,23196233,1
Patrick Reisert,,34610942,14
Yukinori Sato,@el.gsic.titech.ac.jp,2662237,39
Toshio Endo,@is.titech.ac.jp,39045319,57
Anne Benoit,@ens-lyon.fr,1775841,155
Laurent Lefèvre,,3080619,201
Daniel Ruprecht,@leeds.ac.uk,1977734,27
Muhammad Nufail Farooqi,,3414970,4
Tan Nguyen,,2787365,51
Esteban Stafford,@unican.es,40186860,30
Borja Pérez,@unican.es,40334130,7
José Luis Bosque,@unican.es,1724085,73
Vladimir Dimić,@bsc.es,23152078,2
Miquel Moretó,@ac.upc.edu,2703643,101
Christopher Haine,,2179606,17
Denis Barthou,@labri.fr,1718247,72
Alejandro Villegas,,38001371,13
Rafael Asenjo,@uma.es,1768998,59
Angeles G. Navarro,@ac.uma.es,1751660,45
Oscar Plata,,3190187,83
Roland Mathà,@dps.uibk.ac.at,23209529,4
Sasko Ristov,@dps.uibk.ac.at,1746860,130
Yang Hu,@uva.nl,1742868,452
Junchao Wang,,2147744,32
Huan Zhou,@uva.nl,3133941,213
Paul Martin,,31869154,82
Arie Taal,@uva.nl,2515461,21
Cees de Laat,@uva.nl,145793422,48
Zhiming Zhao,@uva.nl,1897259,104
Edson Tavares Camargo,,7623676,4
Elias P. Duarte Jr.,@inf.ufpr.br,2084898,95
Thejaka Amila Kanewala,@iu.edu,2795604,17
Marcin Zalewski,@pnnl.gov,1843069,44
Andrew Lumsdaine,@uw.edu,2556809,268
Thanh-Chung Dao,,29730207,3
Shigeru Chiba,@acm.org,1783820,407
Sven Hammarling,@nag.co.uk,1776509,54
Nicholas Higham,@manchester.ac.uk,1699285,192
Samuel Relton,@leeds.ac.uk,2643233,13
Mawussi Zounon,@manchester.ac.uk,2720713,11
Jan Philipp Ecker,,23155051,1
Rudolf Berrendorf,,1697208,22
Florian Mannuss,,2587646,11
Wasuwee Sodsong,@yonsei.ac.kr,2076127,6
Robert Mittermayr,@auto.tuwien.ac.at,2099519,16
Yoojin Park,,38304641,13
Mohammed Al Farhan,,32530012,2
Alexander Krause,,9187969,27
Thomas Kissinger,,2162217,35
Dirk Habich,@tu-dresden.de,1694689,132
Georgios Chasparis,@scch.at,1708174,35
Michael Rossbory,,2697602,8
Vladimir Janjic,@cs.st-andrews.ac.uk,1938609,28
Aleksandar Prokopec,@epfl.ch,2910441,25
Rafael Keller Tesser,,2074724,3
Lucas Mello Schnorr,@inf.ufrgs.br,3043413,45
Arnaud Legrand,@imag.fr,1998583,145
Fabrice Dupros,,2909473,25
Fabien Hermenier,@nutanix.com,1875835,21
Giovanni Giuliani,,2374288,28
Andrea Milani,,30658206,2
Sophie Demassey,@mines-paristech.fr,3037156,14
Kashif Ilyas,,40534473,4
George Bosilca,@icl.utk.edu,1709514,132
Clément Foyer,@inria.fr,32974771,2
Emmanuel Jeannot,@inria.fr,1795494,121
Guillaume Mercier,,39868021,34
Guillaume Papauré,,31917146,1
Felix Donatus Lübbe,,2317421,7
Marquita Ellis,,34629911,3
Rob Egan,,40108011,20
Steven Hofmeyr,@lbl.gov,1736072,60
Brandon Cook,@lbl.gov,2673141,52
Leonid Oliker,@lbl.gov,1757847,168
Katherine Yelick,@lbl.gov,1731111,215
Pavlos Katsogridakis,,2615278,3
Sofia Papagiannaki,,2740159,3
Polyvios Pratikakis,@ics.forth.gr,2385564,33
Liming Dong,,3607439,51
Weidong Liu,,21618914,44
Renchuan Li,,23213997,1
Seher Acer,@bilkent.edu.tr,14577845,10
Oguz Selvitopi,@cs.bilkent.edu.tr,2064658,11
Cevdet Aykanat,@cs.bilkent.edu.tr,1731638,173
Joe Carrión,,37372815,4
Daniel Franco,,2133672,48
Veronica Gil-Costa,@unsl.edu.ar,40122813,60
Mauricio Marin,@usach.cl,1743311,169
Emilio Luque,@uab.es,1694881,336
Jose Bravo Ferreira,,23153807,1
Marco Cello,@nokia.com,2661184,26
Pedro Silva,,1710103,134
Tien-Dat Phan,@irisa.fr,3373415,5
Shadi Ibrahim,@inria.fr,2629067,48
Amelie Chi Zhou,@inria.fr,2494447,15
Gabriel Antoniu,@inria.fr,1779139,156
Eduardo Roloff,@inf.ufrgs.br,1771311,13
Matthias Diener,@illinois.edu,1734736,47
Emmanuell Diaz Carreño,,34361236,3
Luciano Paschoal Gaspary,@inf.ufrgs.br,2401224,124
Ana Moreton-Fernandez,@infor.uva.es,2473847,6
Eduardo Rodriguez-Gutiez,,8147364,2
Arturo Gonzalez-Escribano,@infor.uva.es,1727166,62
Diego R. Llanos,@infor.uva.es,1868120,45
Laleh Aghababaie Beni,@uci.edu,39856387,7
Aparna Chandramowlishwaran,@uci.edu,3054091,24
Valeria Bartsch,,1993213,309
Rui Machado,@ualg.pt,2045923,38
Mirko Rahn,,37389026,12
Dirk Merten,,40539501,45
Franz-Josef Pfreundt,@itwm.fhg.de,1918587,25
Fanny Pascual,,1825407,30
Krzysztof Rzadca,@mimuw.edu.pl,1780581,45
Marcos Amarís,@ime.usp.br,3108759,7
Clément Mommessin,,23198960,3
Louis-Claude Canon,@univ-fcomte.fr,2180844,34
Frédéric Vivien,@inria.fr,1736346,116
Tahsin Reza,@ece.ubc.ca,35885602,4
Christine Klymko,@llnl.gov,3215132,18
Geoffrey Sanders,,1795587,24
Roger Pearce,,2157171,67
Willian Barreiros Jr.,,26388047,1
George Teodoro,@unb.br,2711977,64
Tahsin Kurc,,1753288,222
Jun Kong,@emory.edu,1711386,245
Alba Cristina Magalhaes Alves de Melo,@cic.unb.br,1771683,110
Joel Saltz,@stonybrook.edu,1735710,464
Xiaohui Duan,,2557896,73
Christian Hundt,@rub.de,2540484,14
Bangtian Liu,@rutgers.edu,2900532,3
Chengyao Wen,,12181108,1
Anand D. Sarwate,@rutgers.edu,9208982,101
Maryam Mehri Dehnavi,@rutgers.edu,2917750,14
François Tessier,@aquilenet.fr,2965669,20
Venkatram Vishwanath,@anl.gov,3348747,95
Pierre Matri,@upm.es,3435201,4
Yevhen Alforov,@dkrz.de,26420353,1
Álvaro Brandon,,40135279,1
Michael Kuhn,@tik.ee.ethz.ch,1772075,125
Thomas Ludwig,@org.dkrz.de,1697513,174
Orcun Yildiz,@inria.fr,34687701,13
Franz C. Heinrich,,26323673,1
Tom Cornebize,@ensimag.grenoble-inp.fr,1877260,3
Augustin Degomme,,2376907,11
Alexandra Carpen-Amarie,,2573681,31
Sascha Hunold,,1719340,57
Martin Quinson,@ens-rennes.fr,1756289,46
Kewen Meng,,12418191,2
An Huynh,@eidos.ic.i.u-tokyo.ac.jp,2716195,8
Harald Servat,@bsc.es,2003728,24
Germán Llort,,2600478,28
Estanislao Mercadal,@bsc.es,1767394,9
Hans-Christian Hoppe,,40215479,24
Kavitha Chandrasekar,@gatech.edu,2441027,13
Yang Li,@andrew.cmu.edu,1678662,2007
Jongmoo Choi,@dankook.ac.kr,1689391,167
Jin Sun,,1894402,175
Hui Wang,@buaa.edu.cn,1685600,2042
Yingchao Huang,@ucmerced.edu,11833602,3
Dong Li,@ucmerced.edu,1678390,1537
Tomohiro Totoki,,26349492,2
Fabien Chaix,,1766280,20
Mauro Ianni,@dis.uniroma1.it,32009512,11
Jianping Li,,8549365,137
Kwan-Liu Ma,@cs.ucdavis.edu,1707383,453
Christopher Carothers,@cs.rpi.edu,1759102,113
Shaomeng Li,@ucar.edu,2944920,10
Sudhanshu Sane,@uoregon.edu,26783785,4
Leigh Orf,@wisc.edu,2160727,7
Pablo Mininni,@df.uba.ar,1823535,97
John Clyne,,1773970,27
Hank Child,,2405249,94
Hyungsoo Jung,@hanyang.ac.kr,1692265,49
Sooyong Kang,,2393820,56
Hyuck Han,@dongduk.ac.kr,1747885,76
Hyeongwon Jang,,26341484,1
Sang Youp Rhee,,26323645,1
Jae Eun Kim,,6337598,11
Stratos Dimopoulos,@cs.ucsb.edu,3284944,12
Chandra Krintz,,1713536,147
Jaehyun Han,,7181851,32
Donghun Koo,,10691462,4
Glenn K. Lockwood,@lbl.gov,8404768,17
Jaehwan Lee,@cs.umd.edu,1737967,85
Hyeonsang Eom,,1738654,76
Soonwook Hwang,@kisti.re.kr,34987672,64
Peng Sun,@ntu.edu.sg,39572993,521
Yonggang Wen,@ntu.edu.sg,40096128,221
Ta Nguyen Binh Duong,@ihpc.a-star.edu.sg,1767765,30
Sarat Sreepathi,@ornl.gov,2052055,14
Jitendra Kumar,@climatemodeling.org,1892474,136
Forrest Hoffman,@climatemodeling.org,7642805,65
Richard Mills,@utk.edu,2275691,20
Vamsi Sripathi,,33884461,5
William Hargrove,@geobabble.org,1791950,73
Stefano Iannucci,@dasi.msstate.edu,2764399,15
Hisham A. Kholidy,@dasi.msstate.edu,2026840,27
Amrita Dhakal Ghimire,@msstate.edu,26425345,2
Rui Jia,,2322206,135
Sherif Abdelwahed,@ece.msstate.edu,1913953,127
Ioana Banicescu,@cse.msstate.edu,3343395,85
Panagiotis Patros,@unb.ca,3293985,8
Dayal Dilli,,37233910,3
Kenneth Kent,@unb.ca,1737718,114
Michael Dawson,,31500848,66
Daeyoun Kang,@kaist.ac.kr,25106267,3
Dohyeun Kim,@jejunu.ac.kr,2525559,7
Jaewook Kim,,2155208,74
Andrew J. Younge,@sandia.gov,2041092,35
Kevin Pedretti,@sandia.gov,1785427,56
Ryan Grant,@sandia.gov,3021644,61
Ronald Brightwell,@sandia.gov,1705033,156
Vicente Adolfo Bolea Sanchez,@unist.ac.kr,38668659,4
Youngmoon Eom,,3289855,6
Kibeom Jin,,26393736,1
Moohyeon Nam,@unist.ac.kr,3461436,2
Deukyeon Hwang,@unist.ac.kr,2951933,5
Jik-Soo Kim,@kisti.re.kr,1687878,40
Reza Azimi,@blanclabs.com,1885681,40
Tyler Fox,@brown.edu,33683147,16
Kun Tang,@vcu.edu,1950808,237
Devesh Tiwari,,34966505,51
Saurabh Gupta,@ncsu.edu,3134457,343
Xubin He,@temple.edu,33367879,102
Renan Fischer E Silva,@bsc.es,2647263,6
Houjun Tang,@lbl.gov,2588506,41
Quincey Koziol,,3239875,19
Bruno Raffin,@inria.fr,2583571,83
Thomas Peterka,@mcs.anl.gov,2284463,106
Hongliang Li,,1741866,504
Jie Wu,@temple.edu,36416867,567
Zhen Jiang,@wcupa.edu,1764407,159
Xiang Li,,1737850,1597
Xiaohui Wei,,2094025,147
Ashish Tapdiya,@vanderbilt.edu,2786856,4
Yuan Xue,@vanderbilt.edu,1702786,323
Daniel Fabbri,@vanderbilt.edu,3025858,41
Jens Gustedt,@inria.fr,3124331,70
Farouk Mansouri,,2756384,7
Jens Breitbart,@tum.de,1702971,32
Simon Pickartz,@eonerc.rwth-aachen.de,2682220,17
Josef Weidendorfer,@in.tum.de,3018445,65
Stefan Lankes,@eonerc.rwth-aachen.de,1725473,66
Antonello Monti,,1704230,215
Niyazi Sorkunlu,,1821026,2
Varun Chandola,@buffalo.edu,3332891,69
Abani Patra,@buffalo.edu,34806140,42
David Boehme,,1998865,64
Hidetoshi Iwashita,,35486615,19
Unnikrishnan Cheramangalath,@iisc.ac.in,26396121,2
Rupesh Nasre,,1696918,27
Y N Srikant,,1692577,92
David Rohr,@cern.ch,2817929,20
Volker Lindenstruth,@compeng.de,2460976,122
Shuo Yang,,1692609,281
Kai Wu,@ucmerced.edu,36960048,147
Yifan Qiao,,12052927,1
Li Han,,1751385,549
Matt Martineau,@bristol.ac.uk,40400989,14
Simon Mcintosh-Smith,@cs.bris.ac.uk,2080824,50
Kiran Sasikumar,@anl.gov,12950973,11
Subramanian Sankaranarayanan,@anl.gov,35159357,22
Balazs Nemeth,@uhasselt.be,2481205,97
Tom Haber,@uhasselt.be,1806102,35
Wim Lamotte,@uhasselt.be,1775641,97
Takashi Shimokawabe,,2822949,12
Naoyuki Onodera,,6765406,5
Takayuki Aoki,,2584629,116
Yuping Fan,@hawk.iit.edu,26319452,4
Paul Rich,@alcf.anl.gov,39548154,11
William Allcock,,2854349,34
Michael Papka,@anl.gov,1857295,172
Zhiling Lan,@iit.edu,1773347,100
Tim Suess,,1783053,34
Lars Nagel,@uni-mainz.de,2107074,54
Marc-Andre Vef,,26383371,1
André Brinkmann,@uni-mainz.de,1726087,117
Dustin Feld,,17631382,12
Thomas Soddemann,,1767942,25
Tyler Allen,,40278775,8
Claude H. Davis,,11023982,2
Maruf Ahmed,,34972007,34
Jeremy Logan,@utk.edu,1730909,52
George Ostrouchov,@ornl.gov,1781276,46
Lipeng Wan,@ornl.gov,39341300,24
William Godoy,@ornl.gov,40513398,1
Erich Lohrmann,,38949055,3
Greg Eisenhauer,@cc.gatech.edu,2315880,117
Chad Wood,,39117045,3
Kevin Huck,@cs.uoregon.edu,1754335,35
Xinyu Chen,@seas.harvard.edu,1781266,140
Trilce Estrada,@cs.unm.edu,1762267,42
Jeremy Benson,,34773586,55
Zhongqi An,,26373868,1
Zhengyu Zhang,,2638943,68
Qiang Li,,20638185,1395
Qian Sun,,35186090,201
Randy Michael Churchill,,15808319,11
Choong-Seock Chang,,3256940,17
Pierre-Louis Guhur,@ens-paris-saclay.fr,3441800,4
Emil Constantinescu,@mcs.anl.gov,35084316,63
Debojyoti Ghosh,@llnl.gov,1955022,14
Scott Levy,@sandia.gov,40448030,34
Kurt Ferreira,@sandia.gov,1734561,64
Patrick Bridges,@cs.unm.edu,23308884,71
Gordon V. Cormack,@plg.uwaterloo.ca,3114123,148
Maura R. Grossman,,2637161,28
Ye Chen,,1703054,335
Ke Zhou,,1690270,321
Yiqun Liu,,1783406,225
Min Zhang,@tsinghua.edu.cn,38898636,503
Shaoping Ma,,8093158,184
Tetsuya Sakai,@waseda.jp,1725544,284
Xiaolu Lu,@rmit.edu.au,40505029,13
Alistair Moffat,@unimelb.edu.au,1751760,359
J. Shane Culpepper,@rmit.edu.au,1691169,86
Yuxin Su,@cse.cuhk.edu.hk,9279606,68
Irwin King,@cse.cuhk.edu.hk,1706259,346
Michael Lyu,@cse.cuhk.edu.hk,1681775,554
Chenyan Xiong,@cs.cmu.edu,3264651,19
Zhuyun Dai,,2475437,8
Jamie Callan,@cs.cmu.edu,1686498,220
Zhiyuan Liu,@tsinghua.edu.cn,31114233,213
Russell Power,@cs.nyu.edu,39071178,22
Mostafa Dehghani,@uva.nl,3226635,50
Hamed Zamani,@cs.umass.edu,2499986,41
