name,gs_email,s2aid,s2npubs
Sebastian Werner,@ucdavis.edu,2965136,57
Javier Navaridas,,2664393,60
Mikel Luján,@manchester.ac.uk,1706226,194
Pejman Lotfi-Kamran,@ipm.ir,1762800,32
Mehdi Modarressi,@ece.ut.ac.ir,3899445,58
Hamid Sarbazi-Azad,@sharif.edu,1712754,291
Paolo Grani,@ucdavis.edu,2836704,21
Venkatesh Akella,,3319014,93
Roberto Proietti,@ucdavis.edu,34980091,77
S. J. Ben Yoo,,30724860,103
Yao Wang,@cornell.edu,1711589,657
Benjamin Wu,,11772376,75
Edward Suh,@csl.cornell.edu,2419859,79
Salessawi Ferede Yitbarek,@umich.edu,3388493,4
Misiker Tadesse Aga,@umich.edu,31685956,2
Reetuparna Das,@umich.edu,40040123,55
Todd Austin,@umich.edu,1769314,135
Rujia Wang,@pitt.edu,2873256,13
Youtao Zhang,@cs.pitt.edu,1686367,145
Jun3 Yang,@pitt.edu,40243313,196
Yanqi Zhou,@princeton.edu,2389316,16
Sameer Wagh,,21287668,7
Prateek Mittal,@princeton.edu,2030711,89
David Wentzlaff,@princeton.edu,1752172,47
Jee Ho Ryoo,@oracle.com,1799329,17
Mitesh R. Meswani,,2543676,19
Andreas Prodromou,@eng.ucsd.edu,3103158,8
Lizy K. John,@ece.utexas.edu,1703238,274
Arpit Joshi,@ed.ac.uk,1984554,9
Vijay Nagarajan,@ed.ac.uk,2164782,56
Stratis Viglas,@inf.ed.ac.uk,1699540,53
Marcelo Cintra,@staffmail.ed.ac.uk,1687142,52
Yanqin Jin,,3358086,9
Hung-Wei Tseng,@ncsu.edu,2653363,50
Steven Swanson,@eng.ucsd.edu,1760342,266
Yannis Papakonstantinou,@eng.ucsd.edu,1786049,139
Mingzhe Zhang,@ict.ac.cn,2273350,36
Lunkai Zhang,@uchicago.edu,1864050,12
Lei Jiang,@iu.edu,40201553,102
Zhiyong Liu,@ict.ac.cn,39358904,858
Fred Chong,@cs.uchicago.edu,1691956,147
Ajeya Naithani,,10736096,1
Stijn Eyerman,@intel.com,2070187,53
Lieven Eeckhout,@ugent.be,1717133,259
Rajiv Nishtala,@bsc.es,2388951,6
Paul Carpenter,@bsc.es,2410518,30
Xavier Martorell,@upc.edu,1767107,182
Vinicius Petrucci,@ufba.br,1771770,33
Qiuyun Llull,@duke.edu,9492117,3
Songchun Fan,@cs.duke.edu,2072463,14
Seyed Majid Zahedi,@cs.duke.edu,2837959,13
Benjamin C. Lee,@duke.edu,2650454,107
Nuwan Jayasena,,2012110,34
Gabriel H. Loh,@amd.com,3308405,147
Dean Tullsen,@eng.ucsd.edu,1740142,145
Mohsen Imani,@eng.ucsd.edu,1962725,70
Abbas Rahimi,@eecs.berkeley.edu,1816396,108
Deqian Kong,@bjtu.edu.cn,9353618,3
Tajana S. Rosing,@ucsd.edu,3197385,18
Jan M. Rabaey,@eecs.berkeley.edu,1714291,439
Lifeng Nai,@gatech.edu,2144577,20
Ramyad Hadidi,@gatech.edu,32052175,6
Jaewoong Sim,@intel.com,33597715,14
Hyojong Kim,@gatech.edu,3194681,13
Pranith Kumar,@gatech.edu,39708396,12
