name,gender,n_female,n_male
"Pan, Rong",M,1,4
"Mao, Mingzhi",M,1,3
"Yang, Yang",F,NA,NA
"Fang, Cong",M,0,2
"Lin, Zhouchen",M,0,7
"Li, Dongsheng",M,NA,NA
"Lv, Qin",F,0,6
"Shang, Li",M,1,5
"Hu, Linmei",F,1,3
"Li, Juanzi",F,NA,NA
"Nie, Liqiang",M,NA,NA
"Shao, Chao",M,2,2
"Waniek, Marcin",M,0,3
"Tran-Thanh, Long",M,0,3
"Jennings, Nicholas",M,0,3
"Guo, Jun",M,1,0
"Chao, Hongyang",F,0,4
"Liao, Minghui",M,0,4
"Shi, Baoguang",M,0,5
"Wang, Xinggang",M,0,5
"Liu, Wenyu",M,0,5
"Liu, Sixue",F,0,1
"Melo, Gerard De",M,NA,NA
"Cheng, Yong",M,NA,NA
"Liu, Yang",M,NA,NA
"Xu, Wei",F,0,2
"Ma, Jiayi",F,NA,NA
"Zhao, Ji",M,1,2
"Jiang, Junjun",M,NA,NA
"Zhou, Huabing",M,1,2
"Wang, Jingyuan",M,1,3
"Lin, Yating",F,0,4
"Wu, Junjie",M,2,7
"Wang, Zhong",M,1,3
"Xiong, Zhang",M,1,8
"Horak, Karel",M,0,2
"Bosansky, Branislav",M,0,2
"Pechoucek, Michal",M,0,2
"Peng, Hao",M,0,8
"Li, Jianxin",M,0,3
"Song, Yangqiu",M,NA,NA
"Liu, Yaopeng",M,0,3
"Guizilini, Vitor",M,0,1
"Ramos, Fabio",M,0,1
"Luo, Minnan",M,1,4
"Yang, Yi",F,0,22
"Hauptmann, Alexander",M,NA,NA
"Zheng, Qinghua",M,2,9
"Yin, Hang",M,2,1
"Melo, Francisco S.",M,2,1
"Billard, Aude",F,1,2
"Paiva, Ana",F,1,2
"He, Wei",M,0,3
"Li, Yonggang",M,0,3
"Zhu, Xiaofeng",M,0,3
"Zhang, Shichao",M,0,3
"Wang, Huazheng",M,1,1
"Wu, Qingyun",F,0,2
"Wang, Hongning",M,1,3
"Barkan, Oren",M,1,5
"Zhou, Ganbin",M,1,4
"Luo, Ping",M,2,12
"Cao, Rongyu",M,1,4
"Lin, Fen",F,0,5
"Chen, Bo",M,1,8
"He, Qing",M,1,8
"Yeh, Chih-Kuan",NA,0,2
"Wu, Wei-Chieh",M,NA,NA
"Wang, Yu-Chiang Frank",M,NA,NA
"Hadoux, Emmanuel",M,0,1
"Hunter, Anthony",M,0,1
"Ciosek, Kamil",M,0,1
"Whiteson, Shimon",M,0,8
"Shi, Baoxu",M,0,1
"Weninger, Tim",M,0,1
"Yang, Jufeng",M,0,2
"Sun, Ming",M,0,2
"Sun, Xiaoxiao",M,0,2
"Liao, Rui",M,0,6
"Miao, Shun",M,0,6
"Tournemire, Pierre De",M,0,6
"Grbic, Sasa",M,0,6
"Kamen, Ali",M,0,6
"Mansi, Tommaso",M,0,6
"Comaniciu, Dorin",M,0,6
"Gan, Chuang",M,1,8
"Sun, Chen",M,1,11
"Nevatia, Ram",M,0,6
"Liu, Changsheng",M,1,0
"Hwa, Rebecca",F,2,2
"Ghadiri, Mehrdad",M,0,3
"Zadeh, Sepehr Abbasi",M,0,3
"Zadimoghaddam, Morteza",M,0,6
"Mirrokni, Vahab",M,1,17
"Peng, Xi",M,NA,NA
"Lu, Jiwen",M,NA,NA
"Yau, Wei-Yun",NA,0,4
"Yi, Zhang",M,NA,NA
"Shen, Weiwei",M,1,1
"Yang, Zhihui",F,0,2
"Wang, Jun",M,NA,NA
"Kim, Saehoon",M,0,1
"Choi, Seungjin",M,0,5
"Ryoo, Michael S.",M,0,10
"Rothrock, Brandon",M,0,3
"Fleming, Charles",M,0,3
"Yang, Hyun Jong",M,0,3
"Lei, Zhixian",M,NA,NA
"Ye, Xuehan",F,NA,NA
"Wang, Yongcai",M,NA,NA
"Li, Deying",NA,2,2
"Xu, Jia",F,NA,NA
"He, Dongxiao",M,0,4
"Jin, Di",M,1,4
"Wang, Xiaobao",M,0,4
"Zhang, Weixiong",M,0,4
"Stergiou, Stergios",M,1,2
"Straznickas, Zygimantas",M,1,2
"Wu, Rolina",F,0,3
"Tsioutsiouliklis, Kostas",M,1,2
"Soma, Tasuku",M,0,1
"Yoshida, Yuichi",M,0,5
"Yu, Xiaotian",M,0,2
"King, Irwin",M,1,11
"Lyu, Michael R.",M,0,5
"Rintanen, Jussi",M,0,0
"Yu, Lantao",M,NA,NA
"Zhang, Weinan",M,NA,NA
"Yu, Yong",M,1,10
"Song, Sijie",F,2,2
"Lan, Cuiling",F,2,2
"Xing, Junliang",M,NA,NA
"Zeng, Wenjun",M,3,1
"Liu, Jiaying",F,NA,NA
"Hatano, Daisuke",M,1,7
"Belle, Vaishak",M,0,2
"Li, Linghui",M,NA,NA
"Tang, Sheng",M,NA,NA
"Deng, Lixi",NA,0,4
