name,gender,n_female,n_male
"Noble, James",M,1,0
"Gopalakrishnan, Raghuram",M,NA,NA
"Sharma, Palak",NA,0,3
"Mirakhorli, Mehdi",M,NA,NA
"Galster, Matthias",M,NA,NA
"Landma, Davy",M,0,2
"Serebrenik, Alexander",M,0,2
"Vinju, Jurgen",M,0,2
"Chen, Boyuan",M,0,1
"Jiang, Zhen Ming Jack",M,0,1
"Joblin, Mitchell",M,0,3
"Apel, Sven",M,0,3
"Hunsen, Claus",M,0,3
"Mauerer, Wolfgang",M,0,3
"Tsantalis, Nikolaos",M,0,2
"Mazinanian, Davood",M,0,2
"Dovom, Shahriar Rostami",M,0,2
"Rojas, Jose Miguel",M,0,3
"White, Thomas",M,0,3
"Clegg, Benjamin",M,0,3
"Fraser, Gordon",M,1,12
"Floyd, Benjamin",M,0,2
"Sanander, Tyler",M,0,2
"Weimer, Westley",M,1,4
"Rodeghero, Paige",F,1,2
"Jiang, Siyuan",F,1,2
"Armaly, Ameer",M,2,1
"Mcmillan, Collin",M,2,1
"Barik, Titus",M,2,4
"Smith, Justin",M,2,4
"Lubick, Kevin",M,2,4
"Holmes, Elisabeth",F,1,5
"Feng, Jing",F,1,5
"Murphy-Hill, Emerson",M,2,4
"Parnin, Chris",M,2,4
"Choudhary, Ankit",M,1,1
"Lu, Shan",F,0,3
"Pradel, Michael",M,1,4
"Pearson, Spencer",M,0,7
"Campos, Jose",M,0,7
"Just, Rene",M,0,7
"Ernst, Michael D.",M,0,7
"Pang, Deric",M,0,7
"Keller, Benjamin",M,0,7
"Nguyen, Trong",M,0,3
"Phan, Hung",M,0,3
"Nguyen, Tien",M,0,3
"Lin, Yun",M,0,4
"Sun, Jun",M,0,4
"Xue, Yinxing",M,0,4
"Dong, Jinsong",M,0,4
"Filippova, Anna",F,0,2
"Trainer, Erik",M,1,1
"Herbsleb, James",M,1,1
"Servant, Francisco",M,0,1
"Jones, James",M,0,1
"Coblenz, Michael",M,1,3
"Nelson, Whitney",F,0,4
"Aldrich, Jonathan",M,1,7
"Sunshine, Joshua",M,1,3
"Aquino, Andrea",F,0,2
"Denaro, Giovanni",M,1,1
"Pezze', Mauro",M,1,1
"Jones, Jasmine",F,2,2
"Petruso, Megan",F,2,2
"Williams, Laurie",F,2,2
"Ma, Wanwangying",F,0,4
"Zhou, Yuming",M,1,3
"Xu, Baowen",M,1,6
"Rolim, Reudismam",M,NA,NA
"Soares, Gustavo",M,NA,NA
"D'antoni, Loris",NA,0,11
"Polozov, Olekander",M,NA,NA
"Suzuki, Ryo",M,NA,NA
"Hartmann, Bjorn",M,NA,NA
"Chen, Junjie",M,NA,NA
"Bai, Yanwei",NA,0,5
"Hao, Dan",M,NA,NA
"Xiong, Yingfei",M,NA,NA
"Li, Menghao",NA,0,7
"Wang, Pei",M,NA,NA
"Liu, Jian",M,NA,NA
"Xue, Rui",M,NA,NA
"Huo, Wei",M,NA,NA
"Vendome, Christopher",M,0,5
"Linares-Vasquez, Mario",M,0,5
"Bavota, Gabriele",M,NA,NA
"Penta, Massimiliano Di",M,NA,NA
"German, Daniel",M,0,5
"Poshyvanyk, Denys",M,0,5
"Heo, Kihong",M,0,2
"Oh, Hakjoo",M,0,2
"Yi, Kwangkeun",M,0,2
"Rasthofer, Siegfried",M,0,3
"Arzt, Steven",M,0,3
"Triller, Stefan",M,0,3
"Sayagh, Mohammed",M,0,2
"Kerzazi, Noureddine",M,0,2
"Adams, Bram",M,0,2
"Shi, August",M,0,4
"Thummalapenta, Suresh",M,0,4
"Lahiri, Shuvendu",M,0,4
"Bjorner, Nikolaj",M,0,4
"Czerwonka, Jacek",M,0,4
"Behringer, Benjamin",M,0,2
"Palz, Jochen",M,0,2
"Berger, Thorsten",M,0,2
"Song, Linhai",M,1,0
"Yan, Runfa",M,1,5
"Zhang, Jiachen",F,0,6
"Han, Shi",M,1,5
"Huang, Gang",M,1,5
"Zhang, Lu",M,1,6
"Su, Guoxin",M,0,3
"Feng, Yuan",M,0,3
"Rosenblum, David",M,0,3
"Busari, Saheed",M,0,1
"Letier, Emmanuel",M,0,1
"Wang, Chao",M,0,1
"Palomba, Fabio",M,2,4
"Salza, Pasquale",M,2,4
"Ciurumelea, Adelina",F,1,5
"Ferrucci, Filomena",F,1,5
"Lucia, Andrea De",M,2,4
"Adamsen, Christoffer Quist",M,1,4
"Moller, Anders",M,1,4
"Karim, Rezwana",F,0,5
"Sridharan, Manu",M,1,4
"Tip, Frank",M,1,4
"Sen, Koushik",M,1,5
"Xu, Zhengzi",M,NA,NA
"Chen, Bihuan",M,NA,NA
"C, Mahinthan",NA,NA,NA
Ramohan,NA,NA,NA
"Song, Fu",M,NA,NA
"Thome, Julian",M,0,3
"Shar, Lwin Khin",M,0,3
"Bianculli, Domenico",M,0,3
"Briand, Lionel",M,0,3
"Guo, Jin",F,1,1
"Cheng, Jinghui",M,2,0
"Cleland-Huang, Jane",F,1,1
"Sedano, Todd",M,NA,NA
"Ralph, Paul",M,NA,NA
"Peraire, Cecile",NA,0,2
"Wittern, Erik",M,1,3
"Ying, Annie T. T.",F,0,4
"Dolby, Julian",M,1,3
"Laredo, Jim A.",M,1,3
"Sun, Chengnian",M,0,5
"Su, Zhendong",M,0,6
"Jiang, Yu",M,0,5
"Sun, Jiaguang",M,0,5
"Ponzanelli, Luca",M,NA,NA
"Scalabrino, Simone",M,NA,NA
"Mocci, Andrea",NA,0,6
"Oliveto, Rocco",M,NA,NA
"Lanza, Michele",M,NA,NA
"Bocic, Ivan",M,0,1
"Bultan, Tevfik",M,0,1
"Tzoref-Brill, Rachel",F,0,1
"Maoz, Shahar",M,1,0
"Padhye, Rohan",M,0,1
"Fabijan, Aleksander",M,1,2
"Dmitriev, Pavel",M,1,2
"Olsson, Helena Holmstrom",F,0,3
"Bosch, Jan",M,1,2
"Gao, Zheng",M,0,2
"Bird, Christian",M,0,6
"Barr, Earl",M,0,2
"Tyszberowicz, Shmuel",M,0,1
"Faitelson, David",M,0,1
"Lee, Amanda",F,0,2
"Carver, Jeffrey",M,1,1
"Bosu, Amiangshu",M,1,5
"Chen, Hunyang",F,0,2
"Xing, Zhenchang",M,1,1
"Wang, Ximing",M,1,1
"He, Jiang",M,0,3
"Xiaochen, Li",M,0,3
"Zijiang, Yang",M,0,3
"Jifeng, Xuan",M,0,3
"Hawkins, Byron",M,0,1
"Demsky, Brian",M,0,1
"Fucci, Davide",M,1,3
"Erdogmus, Hakan",M,1,3
"Turhan, Burak",M,1,3
"Oivo, Markku",M,1,3
"Juristo, Natalia",F,0,4
"Costa, Daniel Alencar Da",M,1,4
"Mcintosh, Shane",M,2,8
"Shang, Weiyi",M,2,8
"Kulesza, Uira",M,1,4
"Coelho, Roberta",F,0,5
"Hassan, Ahmed",M,1,10
Martin,NA,NA,NA
William,NA,NA,NA
Sarro,NA,NA,NA
Federica,NA,NA,NA
Jia,NA,NA,NA
Yue,NA,NA,NA
Zhang,NA,NA,NA
Yuanyuan,NA,NA,NA
Harman,NA,NA,NA
Mark,NA,NA,NA
"Segura, Sergio",M,3,4
"Sanchez, Ana B.",F,0,3
"Ruiz-Cortes, Antonio",M,1,2
"Sadeghi, Alireza",M,0,3
"Bagheri, Hamid",M,0,3
"Garcia, Joshua",M,0,3
"Malek, Sam",M,0,3
"Tantithamthavorn, Chakkrit",M,0,3
"Matsumoto, Kenichi",M,0,3
"Hebig, Regina",F,0,2
"Khelladi, Djamel",M,1,1
"Bendraou, Reda",M,1,1
"Chen, Tse-Hsun",M,1,4
"Jiang, Zhen Ming",M,1,4
"Hassan, Ahmed E.",M,2,6
"Nasser, Mohamed",M,1,4
"Flora, Parminder",F,0,5
"Mariani, Leonardo",M,0,2
"Pezze, Mauro",M,0,2
"Santoro, Mauro",M,0,2
"Azad, Shams",NA,1,1
"Rigby, Peter Christopher",M,NA,NA
"Gerrouj, Latifa",F,NA,NA
"Yang, Chunbai",M,NA,NA
"Wu, Shangru",F,NA,NA
"Chan, W.k.",NA,1,1
"Polyvyanyy, Artem",M,0,3
"Aalst, Will Van Der",M,0,3
"Hofstede, Arthur Ter",M,0,3
"Wynn, Moe",M,0,3
"Platenius, Marie C.",F,NA,NA
"Schafer, Wilhelm",M,NA,NA
"Shaker, Ammar",M,NA,NA
"Becker, Matthias",M,NA,NA
"He, Qiang",M,1,6
"Zhang, Xuyun",M,1,6
"Wang, Yanchun",M,1,6
"Ye, Dayong",M,1,6
"Chen, Feifei",F,0,7
"Grundy, John",M,1,6
"Yang, Yun",M,1,6
"Bhatia, Jaspreet",F,0,2
"Breaux, Travis D",M,1,1
"Schaub, Florian",M,1,1
"Damevski, Kostadin",M,1,2
"Schneider, Johannes",M,1,2
"Pollock, Lori",F,0,3
"Baki, Islem",M,0,1
"Sahraoui, Houari",M,0,1
"Rempel, Patrick",M,0,1
"Mader, Patrick",M,0,1
"Carver, Jeffrey C.",M,0,4
"Orbeck, Jonathan",M,0,4
"Chockley, Christopher",M,0,4
"Hierons, Rob Mark",M,2,2
"Li, Miqing",F,1,3
"Liu, Xiaohui",F,1,3
"Zheng, Wei",M,NA,NA
"Vara, Jose Luis De La",M,0,3
"Borg, Markus",M,0,5
"Wnuk, Krzysztof",M,0,5
"Moonen, Leon",M,0,3
"Tang, Enyi",M,0,4
"Muller, Norbert",M,0,4
"Chen, Zhenyu",M,0,4
"Li, Xuandong",M,0,4
"Regnell, Bjorn",M,0,3
"Runeson, Per",M,0,3
"Sharp, Helen",F,1,1
"Dittrich, Yvonne",F,1,1
"Souza, Cleidson R. B. De",M,2,0
"Zhang, Feng",M,1,2
"Zou, Ying",F,0,3
"Li, Lingbo",M,NA,NA
"Wu, Fan",NA,1,2
"Zhang, Yuanyuan",F,NA,NA
"Candela, Ivan",M,1,2
"Russo, Barbara",F,0,3
"Li, Junnan",M,1,2
"Wong, Yongkang",M,2,5
"Kankanhalli, Mohan S.",M,3,8
"Sarvadevabhatla, Ravi Kiran",M,1,3
"Dwivedi, Isht",F,0,4
"Biswas, Abhijat",M,1,3
"Manocha, Sahil",M,1,3
"R., Venkatesh Babu",M,1,3
"Chen, Qi",M,0,4
Yuanlu,M,0,4
"Lin, Xu Liang",M,0,4
"Cappallo, Spencer",M,NA,NA
"Snoek, Cees G.m.",NA,0,1
"Chen, Yi-Ling",F,NA,NA
"Klopp, Jan",M,1,3
"Chien, Shao-Yi",M,1,5
"Ma, Kwan-Liu",M,1,3
"Chen, Fuhai",M,1,3
"Wu, Yunsheng",M,2,3
"Hsu, Chih-Fan",M,1,4
"Chen, Anthony",M,1,4
"Hsu, Cheng-Hsin",M,1,4
"Huang, Chun-Ying",F,0,5
"Lei, Chin-Laung",M,1,4
"Chen, Kuan-Ta",M,2,6
"Tan, Fuwen",F,NA,NA
"Deng, Teng",NA,2,2
"Yan, Bo",M,NA,NA
"Shi, Shu",NA,1,6
"Yuan, Weizhe",F,NA,NA
"He, Haoqin",M,NA,NA
"Jana, Rittwik",M,NA,NA
"Xu, Yang",M,NA,NA
"Chao, H. Jonathan",M,NA,NA
"Liu, Si",F,4,11
"Sun, Yao",M,2,4
"Zhu, Defa",M,2,4
"Bao, Renda",F,1,5
"Shu, Xiangbo",M,2,4
"Chang, Yu-Ting",F,0,3
"Cheng, Wen-Haung",M,1,2
"Wu, Bo",M,1,2
"Hua, Kai-Lung",M,NA,NA
"Maneshgar, Behnam",M,1,2
"Sujir, Leila",F,0,3
"Mudur, Sudhir",M,1,2
"Poullis, Charalambos",M,1,2
"Liu, Zhenguang",M,2,8
"Liu, Anan",F,0,5
"Zhang, Luming",M,2,14
"He, Xiangnan",M,NA,NA
"Zimmermann, Roger",M,1,5
"Zeng, Zhaoyang",M,1,2
"Gao, Junyu",M,0,2
"Tian, Yuan",F,1,4
"Raghuraman, Suraj",M,2,3
"Annaswamy, Thiru",M,3,3
"Borresen, Aleksander",M,2,3
"Nahrstedt, Klara",F,1,5
"Prabhakaran, Balakrishnan",M,3,3
"Yang, Ziwei",NA,NA,NA
"Han, Yahong",F,NA,NA
"Wang, Bokun",F,1,3
"Hanjalic, Alan",M,2,2
"Jiang, Shuhui",F,0,2
"Yan, Sijie",M,0,5
"Qiu, Shi",M,0,5
"Li, Jianan",F,2,11
"Wei, Yunchao",M,5,5
"Zhao, Fang",F,5,10
"Li, Jianshu",M,6,9
"Xu, Tingfa",M,3,3
"Gu, Xiaoling",F,0,5
"Peng, Pai",M,1,4
"Shou, Lidan",M,1,4
"Yan, Yichao",M,NA,NA
"Xu, Jingwei",NA,1,7
"Zhang, Wendong",M,NA,NA
"Bai, Jiale",M,2,6
"Shen, Yang",M,2,6
"Lai, Hanjiang",M,2,6
"Zhang, Chongyang",M,2,6
"Mei, Lin",M,2,6
"Hu, Chuanping",F,1,7
"Yao, Chen",F,1,7
"Fan, Shaojing",F,1,4
"Jiang, Ming",M,3,4
"Shen, Zhiqi",M,2,3
"Koenig, Bryan L.",M,2,3
"Zhang, Mengdan",F,0,2
"Li, Yuke",M,0,0
"Zhao, Yiru",F,NA,NA
"Deng, Bing",NA,NA,NA
"Huang, Jianqiang",M,NA,NA
"Wu, Xiaohao",M,1,2
"Bao, Zhimin",F,0,3
"Zhuo, Junbao",M,0,3
"Zhang, Weigang",M,0,3
"Zhang, Tongtao",M,1,7
"Whitehead, Spencer",M,1,7
"Li, Hongzhi",M,1,7
"Ellis, Joseph",M,1,7
"Gong, Dihong",NA,1,1
"Wang, Daisy Zhe",F,NA,NA
"Peng, Yang",M,NA,NA
"Zhu, Bingke",F,2,3
"Chen, Yingying",F,2,3
"Wang, Jinqiao",M,3,2
"Tang, Ming",M,3,2
"Petrangeli, Stefano",M,0,3
"Swaminathan, Viswanathan",M,0,3
"Hosseini, Mohammad",M,0,3
"Turck, Filip De",M,1,9
"Xie, Lan",F,1,3
"Xu, Zhimin",M,2,2
"Ban, Yixuan",F,1,3
"Zhang, Xinggong",M,2,2
"Liao, Xiaofei",M,NA,NA
"Li, Peng",M,NA,NA
"Jin, Hai",M,NA,NA
"Lin, Li",NA,0,4
"Xia, Ke",M,2,2
"Ma, Yuqing",F,1,3
"Yao, Hantao",M,0,6
"Zhang, Shiliang",M,0,6
"Chen, Jun",M,0,2
"Ziegler, Lukas",M,0,1
"Li, Dingquan",M,1,1
"Jiang, Tingting",F,0,2
"Weninger, Felix",M,NA,NA
"Liu, Boqing",NA,1,4
"Schmitt, Maximilian",M,NA,NA
"Eyben, Florian",M,NA,NA
"Du, Xiaoyu",M,0,3
"Qin, Zhiguang",M,0,3
"Min, Weiqing",M,0,4
"Sang, Jitao",M,NA,NA
"Mei, Shuhuan",M,0,4
"Nian, Fudong",M,1,2
"Bao, Bing-Kun",F,0,3
"Li, Teng",M,1,2
"Wei, Longhui",M,0,4
"Liu, Ting",F,4,7
"Zhao, Yao",M,5,5
"Wei, Shikui",M,5,5
"Chen, Junyu",M,NA,NA
"Guo, Yuxiao",NA,1,4
"He, Jun-Yan",M,0,4
"Jiang, Yu-Gang",M,NA,NA
"Zhao, Bo",M,0,4
"Peng, Qiang",M,0,4
"Segalin, Cristina",F,0,7
"Celli, Fabio",M,1,7
"Polonio, Luca",M,1,6
"Kosinski, Michal",M,1,6
"Stillwell, David",M,2,6
"Cristani, Marco",M,1,6
"Lepri, Bruno",M,1,7
"Yang, Jiajia",M,1,0
"Cummins, Nicholas",M,0,5
"Amiriparian, Shahin",M,0,5
"Hagerer, Gerhard",M,0,5
"Batliner, Anton",M,0,5
"Steidl, Stefan",M,0,5
"Schuller, Bjorn W.",M,0,5
"Gatti, Lorenzo",M,NA,NA
"Ozbal, Gozde",NA,0,3
"Stock, Oliviero",M,NA,NA
"Strapparava, Carlo",M,NA,NA
"Li, Yusen",M,NA,NA
"Deng, Yunhua",NA,0,5
"Tang, Xueyan",M,NA,NA
"Cai, Wentong",M,NA,NA
"Liu, Xiaoguang",M,NA,NA
"Wang, Zepeng",M,1,5
"Shah, Rajiv Ratn",M,1,5
"Xia, Yingjie",M,1,5
"Xue, Tangli",NA,1,3
"Luo, Hongcheng",M,NA,NA
"Cheng, Danpeng",M,NA,NA
"Yuan, Zikang",M,NA,NA
"Lin, Jen-Chun",M,1,3
"Wei, Wen-Li",F,0,4
"Yang, James",M,1,3
"Wang, Hsin-Min",M,1,3
"Liao, Hong-Yuan Mark",M,1,3
"Hinami, Ryota",M,NA,NA
"Matsui, Yusuke",M,NA,NA
"Satoh, Shin'ichi",NA,NA,NA
"Xu, Jun",M,2,6
"Massani, Pietro Zani",M,0,2
"Joly, Alexis",M,0,4
"Bonnet, Pierre",M,0,4
"Affouard, Antoine",M,0,4
"Lombardo, Jean-Christophe",M,0,4
"Goeau, Herve",M,0,4
"She, James",M,0,5
"Tan, Kong Cheng",M,0,2
"Yong, Soon Xuan",M,0,2
"Kuchera-Morin, Joann",F,NA,NA
"Putnam, Lance",M,NA,NA
"Peliti, Luca",M,NA,NA
"Adderton, Dennis",M,NA,NA
"Cabrera, Andres",M,NA,NA
"Kim, Kon Hyong",NA,2,8
"Rincon, Gustavo",M,NA,NA
"Tilbian, Joseph",M,NA,NA
"Wolfe, Hannah",F,NA,NA
"Wood, Tim",M,NA,NA
"Youn, Keehong",M,NA,NA
"Sajadieh, Sahar",F,0,0
"Ondris, Brianna",F,0,0
"Hardy, Megan",F,0,1
"Pal, Sumanto",M,1,0
"Lee, Inhye",F,0,1
"Kim, Hyomin",M,1,0
"Mungan, Yagiz",M,0,0
"Beau, Edouard",M,0,0
"Young, Jiayi",F,0,3
"Yang, Weidong",M,1,2
"Young, Shih-Wen",M,1,2
"Yu, Qilian",M,1,2
"Vasudevan, Arun Balajee",M,1,2
"Volokitin, Anna",F,1,4
"Zunino, Andrea",M,1,4
"Cavazza, Jacopo",M,1,4
"Koul, Atesh",M,1,4
"Cavallo, Andrea",M,1,4
"Becchio, Cristina",F,0,5
"Chen, Chengpeng",M,1,1
"Yang, Hua",F,0,3
"Wu, Shuang",M,1,2
"Gao, Zhiyong",M,1,2
"Tang, Youbao",M,0,1
"Wu, Xiangqian",M,0,1
"Zhao, Junjie",M,0,2
"Long, Yang",M,0,1
"Song, Zhichao",M,0,5
"Zhang, Ning",M,1,2
"Cao, Yu",M,1,2
"Liu, Benyuan",M,1,2
"Luo, Yan",F,0,3
"Dubey, Abhimanyu",M,0,1
"Agarwal, Sumeet",M,0,1
"Zhou, Yiyi",F,1,3
"Zheng, Zhongyang",M,NA,NA
"Wang, Bo",M,NA,NA
"Wang, Yakun",F,NA,NA
"Yang, Shuang",M,NA,NA
"Dong, Zhongqian",NA,NA,NA
"Yi, Tianyang",NA,NA,NA
"Choi, Cyrus",M,NA,NA
"Chang, Emily J.",F,NA,NA
"Chang, Edward Y.",M,NA,NA
"Calagari, Kiana",F,0,3
"Elgharib, Mohamed",M,1,2
"Shirmohammadi, Shervin",M,1,2
"Hefeeda, Mohamed",M,1,2
"Xiao, Mengbai",M,1,2
"Zhou, Chao",M,1,2
"Liu, Yao",F,NA,NA
"Chen, Songqing",M,1,2
"Yan, Zhisheng",M,0,1
"Zhou, Chengju",M,1,1
"Wu, Meiqing",F,0,2
"Lam, Siew-Kei",M,1,1
"Qi, Mengshi",F,2,0
"Li, Annan",F,2,0
"Song, Xuemeng",M,NA,NA
"Feng, Fuli",M,NA,NA
"Liu, Jinhuan",NA,0,5
"Li, Zekun",M,NA,NA
"Ma, Jun",M,NA,NA
"Broeck, Marc Van Den",M,0,2
"Kawsar, Fahim",M,0,2
"Chen, Tanfang",M,3,0
"Wang, Yaxin",F,2,1
"Chen, Shiyu",F,2,1
"Yao, Chun-Han",M,0,2
"Chang, Chia-Yang",M,0,2
"Won, Donghyeon",M,0,2
"Steinert-Threlkeld, Zachary C.",M,0,2
"Joo, Jungseock",M,0,2
"Jin, Zhiwei",M,0,4
"Cao, Juan",M,0,4
"Guo, Han",M,0,4
"Kleinrouweler, Jan Willem",M,0,0
"Chen, Gong",M,0,0
"Dong, Jianfeng",M,0,2
"Chen, Xiang",M,0,2
"Liu, Fanghui",F,1,1
"Huang, Xiaolin",M,2,0
"Zhang, Jiaqi",F,1,2
"Wang, Zhenzhen",F,1,2
"Tan, Yap-Peng",M,2,1
"Zhao, Bin",M,0,2
"Lu, Xiaoqiang",M,0,3
"Zong, Yuan",M,1,3
"Huang, Xiaohua",M,1,3
"Zheng, Wenming",M,1,3
"Cui, Zhen",M,1,3
"Zhao, Guoying",F,0,4
"Oh, Hyungik",M,0,1
"Jain, Ramesh",M,0,1
"Han, Jing",F,1,3
"Zhang, Zixing",M,2,2
"Li, Jingjing",F,1,2
"Lu, Ke",M,2,1
"Zhang, Liang",M,0,4
"Ma, Bingpeng",M,0,4
"Li, Guorong",M,0,4
"Zhao, Pengpeng",M,NA,NA
"Xu, Xiefeng",NA,NA,NA
"Liu, Yanchi",M,NA,NA
"Sheng, Victor S.",M,NA,NA
"Wu, Chao",M,0,3
"Li, Qiushi",M,0,3
"Zhang, Yaoxue",M,0,3
"Koo, Jonghoe",M,0,4
"Yi, Juheon",M,0,4
"Kim, Joongheon",M,0,4
"Hoque, Mohammad Ashraful",M,0,4
"Choi, Sunghyun",M,0,4
"Corbillon, Xavier",M,1,2
"Devlic, Alisa",F,0,3
"Simon, Gwendal",M,1,2
"Chakareski, Jacob",M,1,2
"Zhao, Wencang",M,0,3
"Wang, Meng",F,NA,NA
"Wang, Lingjing",F,1,1
"Chen, Baoquan",M,4,13
"Zhang, Hua",M,0,3
"Lin, Tianwei",M,1,1
"Zhao, Xu",F,0,2
"Liao, Lixin",M,0,4
"Wang, Jingdong",M,0,4
"Liu, Ruoyu",M,0,4
"Kim, Jaebok",M,3,0
"Englebienne, Gwenn",F,2,1
"Tu, Yunbin",NA,0,3
"Liu, Bingtao",M,NA,NA
"Yan, Chenggang",M,NA,NA
"Duan, Zhenyu",M,NA,NA
"Lan, Jinpeng",M,NA,NA
"Zhuang, Lixue",NA,0,5
"Wang, Feng",M,NA,NA
"Xiang, Xiang",NA,0,3
"Yuille, Alan Loddon",M,NA,NA
"Lin, Jinghao",M,2,3
"Jiang, Xinghua",F,1,4
"Li, Xinyu",M,2,4
"Zhang, Yanyi",F,1,5
"Zhang, Jianyu",M,2,4
"Chen, Yueyang",M,2,4
"Li, Huangcan",F,1,5
"Marsic, Ivan",M,2,4
"Burd, Randall S.",M,2,4
"Jiang, Xinyang",M,2,4
"Tang, Siliang",M,2,4
"Han, Xintong",M,0,3
"Wu, Zuxuan",M,0,5
"Ruiz, Alejandro Hernandez",M,0,3
"Porzi, Lorenzo",M,0,3
"Bulo, Samuel Rota",M,0,3
"Mittal, Gaurav",M,1,1
"Marwah, Tanya",F,0,2
"Balasubramanian, Vineeth N.",M,1,1
"Alface, Patrice Rondao",M,0,6
"Aerts, Maarten",M,0,6
"Tytgat, Donny",M,0,6
"Lievens, Sammy",M,0,6
"Stevens, Christoph",M,0,6
"Verzijp, Nico",M,0,6
"Macq, Jean-Francois",M,0,6
"Stohr, Denny",M,0,5
"Frommgen, Alexander",M,0,5
"Rizk, Amr",M,0,5
"Zink, Michael",M,0,5
"Steinmetz, Ralf",M,0,5
"Effelsberg, Wolfgang",M,0,5
"Ren, Fengyuan",M,0,1
"Yadav, Praveen Kumar",M,0,2
"Shafiei, Arash",M,0,2
"Ooi, Wei Tsang",M,0,2
"Nguyen, Thi Ngoc Tram",F,NA,NA
"Liangkun, Yan",M,NA,NA
"Lin, Lien-Ya",NA,2,3
"Shukla, Abhinav",M,1,4
"Gullapuram, Shruti Shriya",F,0,5
"Katti, Harish",M,1,4
"Yadati, Karthik",M,1,4
"Kankanhalli, Mohan",M,1,10
"Subramanian, Ramanathan",M,1,4
"Ling, Suiyi",M,0,1
"Callet, Patrick Le",M,0,1
"Jin, Haojian",M,0,2
"Yatani, Koji",M,0,2
"Ma, Daiqian",M,0,6
"Gao, Feng",M,0,6
"Bai, Yan",M,0,6
"Lou, Yihang",M,0,6
"Wang, Shiqi",M,0,6
"Huang, Tiejun",M,0,6
"Duan, Ling-Yu",M,0,6
"Mao, Hui",M,0,2
"Cheung, Ming",M,0,2
"Wang, Xiang",M,0,8
"Zhang, Jianglong",M,0,6
"Hong, Richang",M,0,8
"Dong, Hao",M,0,6
"Supratak, Akara",M,0,6
"Mai, Luo",M,0,6
"Liu, Fangde",M,0,6
"Oehmichen, Axel",M,0,6
"Yu, Simiao",M,0,6
"Guo, Yike",M,0,6
"Garcia, Boni",M,0,4
"Lopez, Luis",M,0,4
"Gortazar, Francisco",M,0,4
"Gallego, Micael",M,0,4
"Carella, Giuseppe Antonio",M,0,4
"Yang, Haojin",M,0,3
"Fritzsche, Martin",M,0,3
"Bartz, Christian",M,0,3
"Meinel, Christoph",M,0,3
"Hidaka, Masatoshi",M,0,3
"Kikura, Yuichiro",M,0,3
"Niitani, Yusuke",M,0,3
"Ogawa, Toru",M,0,3
"Saito, Shunta",M,0,3
"Saito, Masaki",M,0,3
"Qiu, Weichao",M,0,6
"Zhong, Fangwei",M,0,6
"Qiao, Siyuan",M,0,6
"Xiao, Zihao",M,0,6
"Kim, Tae Soo",M,0,6
"Truong, Quoc-Tuan",M,0,1
"Lauw, Hady W.",M,0,1
"Guo, Xiaojie",F,1,1
"Li, Yu",M,2,0
"Zhao, Rui-Wei",M,0,3
"Li, Jianguo",M,0,3
"Shang, Xindi",F,0,4
"Ren, Tongwei",M,NA,NA
"Guo, Jingfan",M,1,3
"Yang, Lingxiao",M,0,3
"Liu, Risheng",M,0,3
"Zhang, David",M,0,3
"Wang, Zhigang",M,0,2
"Lee, Yuan-Shan",NA,NA,NA
"Yu, Kuo",M,NA,NA
"Chen, Sih-Huei",NA,NA,NA
"Wang, Jia-Ching",M,NA,NA
"Wu, Jian",M,NA,NA
"Guo, Anqian",NA,1,4
"Cui, Zhiming",M,NA,NA
"Li, Hua",F,NA,NA
"Bin, Yi",NA,2,2
"Xu, Ruicong",M,1,3
"Xie, Ning",M,1,3
"Kreith, Balazs",M,0,2
"Singh, Varun",M,0,2
"Ott, Jorg",M,0,2
"Zhu, Yifei",M,1,2
"Liu, Jiangchuan",M,1,2
"Wang, Zhi",M,1,2
"Zhang, Cong",F,0,3
"Elgamal, Tarek",M,1,0
"Takahashi, Masaki",M,1,4
"Yokozawa, Shinsuke",M,1,4
"Mitsumine, Hideki",M,1,4
"Mishina, Tomoyuki",M,1,4
"Matsuhisa, Yasuyuki",M,1,4
"Muramatsu, Sawako",F,0,5
"Makarov, Ilya",M,1,1
"Aliev, Vladimir",M,1,1
"Gerasimova, Olga",F,0,2
"Benkhedda, Yassir",M,0,2
"Santani, Darshan",M,0,2
"Gatica-Perez, Daniel",M,0,2
"Beyan, Cigdem",F,1,1
"Katsageorgiou, Vasiliki-Maria",F,1,1
"Goel, Sonal",NA,0,3
"Ahuja, Sarthak",M,NA,NA
"Subramanyam, A V.",M,NA,NA
"Ma, Ye",M,2,2
"Li, Xinxing",M,2,2
"Sami, Ishrat Rahman",F,1,0
"Farrahi, Katayoun",F,1,0
"Davani, Sina Gholamnejad",F,0,1
"Sarhan, Nabil J.",M,1,0
"Jaiswal, Ayush",M,0,3
"Sabir, Ekraam",M,0,3
"Abdalmageed, Wael",M,0,3
"Natarajan, Premkumar",M,0,3
"Luzardo, Gonzalo",M,0,4
"Aelterman, Jan",M,0,4
"Luong, Hiep",M,0,4
"Philips, Wilfried",M,0,4
"Ochoa, Daniel",M,0,4
"Abd-Almageed, Wael",M,1,1
"Natarajan, Prem",M,1,1
"Chen, Xiongtao",M,0,3
"Li, Weimian",M,0,3
"Yang, Fei",F,3,2
"Zheng, Qinjie",F,3,2
"Xiao, Shengtao",M,2,5
"Zhao, Jian",M,5,7
"Sim, Terence",M,2,5
"Xu, Qianqian",F,NA,NA
