regex,sector,country
"tid\.es","com",""
"naudit\.(es)","com","$1"
"yandex-team\.(ru)","com","$1"
"sics\.(se)","com","$1"
"online\.(no)","com","$1"
"linux\.(it)","com","$1"
"gridcentric\.(ca)","com","$1"
"iij.ad\.(jp)","com","$1"
"ycr.(org)","com","us"
"cray\.(com)","com","us"
"oracle\.(com)","com","us"
"target\.(com)","com","us"
"linkedin\.(com)","com","us"
"att\.(com)","com","us"
"hpe\.(com)","com","us"
"datatransparencylab.org","",""
"h-its.org","","de"
"fbk.eu","","it"
"climatemodeling.org","","us"
"\w*mail.com","",""
"yahoo.com","",""
"outlook.com","",""
