name,gs_email,gender,country,sector,npubs,hindex,hindex5y,i10index,i10index5y,citedby,s2npubs
"Aiello, Luca Maria",@nokia-bell-labs.com,M,,COM,74,18,16,25,24,1140,
"Aiello, Marco",@ieee.org,M,,,263,32,24,75,56,3429,
"Aiken, Alex",@cs.stanford.edu,M,US,EDU,247,63,42,138,97,15944,207
"Ailamaki, Anastasia",@epfl.ch,F,CH,EDU,292,49,35,122,100,8629,227
"Ainsworth, Mark",@brown.edu,M,US,EDU,171,35,24,78,46,7738,168
"Aiyar, Srinivas",,M,,,,,,,,,3
"Ajay, Jerry",@buffalo.edu,M,US,EDU,6,3,3,0,0,18,5
"Aji, Ashwin",@amd.com,M,,COM,27,12,11,13,12,430,
"Akaria, Islam",,M,,,,,,,,,3
"Akata, Zeynep",,F,,,,,,,,,
"Akbudak, Kadir",@cs.bilkent.edu.tr,M,SA,EDU,13,3,3,2,2,41,14
"Akella, Aditya",@cs.wisc.edu,M,US,EDU,216,40,36,76,63,7664,178
"Akella, Venkatesh",,M,US,EDU,,,,,,,93
"Aken, Dana Van",,F,,,,,,,,,6
"Akgun, Itir",@ece.ucsb.edu,F,US,EDU,5,2,2,0,0,6,5
"Akkus, Istemi Ekin",@mpi-sws.org,M,DE,GOV,15,7,5,6,5,199,15
"Akoglu, Ali",,M,US,EDU,90,12,9,16,9,844,69
"Akoglu, Leman",@cs.cmu.edu,F,US,EDU,,,,,,,
"Akram, Riad",,M,US,EDU,,,,,,,4
"Aksenov, Vitaly",,M,,,,,,,,,6
"Aktaş, Mehmet Fatih",,M,US,EDU,61,9,9,8,7,304,6
"Aktolga, Elif",@cs.umass.edu,F,US,EDU,13,4,4,3,3,84,
"Akturk, Ismail",@umn.edu,M,US,EDU,24,5,4,1,1,48,22
"Al-Fuqaha, Ala",@wmich.edu,M,US,EDU,148,16,12,25,16,1650,98
"Al-Hawaj, Khalid",,M,US,EDU,,,,,,,3
"Al-Kiswany, Samer",@uwaterloo.ca,M,CA,EDU,57,12,11,17,12,670,40
"Al-Rawi, Asma",,F,,COM,,,,,,,1
"Al-Shaer, Ehab",,M,,,309,36,29,92,64,5441,
"Alabi, Daniel",@g.harvard.edu,M,US,EDU,3,2,2,0,0,6,5
"Alagappan, Ramnatthan",@cs.wisc.edu,M,US,EDU,6,3,3,2,2,56,14
