name,gs_email,role,key
"Karpathiotakis, Manos",@epfl.ch,author,CIDR_17_008
"Porobic, Danica",@epfl.ch,author,CIDR_17_008
"Ailamaki, Anastasia",@epfl.ch,author,CIDR_17_008
"Leis, Viktor",@in.tum.de,author,CIDR_17_009
"Radke, Bernharde",@in.tum.de,author,CIDR_17_009
"Gubichev, Andrey",@in.tum.de,author,CIDR_17_009
"Kemper, Alfons",,author,CIDR_17_009
"Neumann, Thomas",@in.tum.de,author,CIDR_17_009
"Bernstein, Philip A.",@microsoft.com,author,CIDR_17_010
"Dashti, Mohammad",@epfl.ch,author,CIDR_17_010
"Kiefer, Tim",,author,CIDR_17_010
"Maier, David",@cs.pdx.edu,author,CIDR_17_010
"Chen, Ang",@cis.upenn.edu,author,CIDR_17_011
"Wu, Yang",@cis.upenn.edu,author,CIDR_17_011
"Haeberlen, Andreas",@cis.upenn.edu,author,CIDR_17_011
"Loo, Boon Thau",@cis.upenn.edu,author,CIDR_17_011
"Zhou, Wenchao",@cs.georgetown.edu,author,CIDR_17_011
"Wang, Jingjing",@cs.washington.edu,author,CIDR_17_012
"Baker, Tobin",,author,CIDR_17_012
"Balazinska, Magdalena",@cs.washington.edu,author,CIDR_17_012
"Halperin, Daniel",@cs.washington.edu,author,CIDR_17_012
"Haynes, Brandon",,author,CIDR_17_012
"Howe, Bill",@uw.edu,author,CIDR_17_012
"Hutchison, Dylan",@cs.washington.edu,author,CIDR_17_012
"Jain, Shrainik",@cs.washington.edu,author,CIDR_17_012
"Maas, Ryan",,author,CIDR_17_012
"Mehta, Parmita",,author,CIDR_17_012
"Moritz, Dominik",@cs.washington.edu,author,CIDR_17_012
"Myers, Brandon",@uiowa.edu,author,CIDR_17_012
"Ortiz, Jennifer",@uw.edu,author,CIDR_17_012
"Suciu, Dan",@cs.washington.edu,author,CIDR_17_012
"Whitaker, Andrew",,author,CIDR_17_012
"Xu, Shengliang",@cs.washington.edu,author,CIDR_17_012
"Mattson, Timothy G.",@intel.com,author,CIDR_17_013
"Gadepally, Vijay",,author,CIDR_17_013
"She, Zuohao",,author,CIDR_17_013
"Dziedzic, Adam",@uchicago.edu,author,CIDR_17_013
"Parkhurst, Jeff",,author,CIDR_17_013
"Pavlo, Andrew",@cs.cmu.edu,author,CIDR_17_014
"Angulo, Gustavo",,author,CIDR_17_014
"Arulraj, Joy",@cs.cmu.edu,author,CIDR_17_014
"Lin, Haibin",@andrew.cmu.edu,author,CIDR_17_014
"Lin, Jiexi",,author,CIDR_17_014
"Ma, Lin",@cs.cmu.edu,author,CIDR_17_014
"Menon, Prashanth",@cs.cmu.edu,author,CIDR_17_014
"Mowry, Todd C.",@cs.cmu.edu,author,CIDR_17_014
"Perron, Matthew",@csail.mit.edu,author,CIDR_17_014
"Quah, Ian",,author,CIDR_17_014
"Santurkar, Siddharth",,author,CIDR_17_014
"Tomasic, Anthony",@cs.cmu.edu,author,CIDR_17_014
"Toor, Skye",,author,CIDR_17_014
"Aken, Dana Van",,author,CIDR_17_014
"Wang, Ziqi",@pku.edu.cn,author,CIDR_17_014
"Wu, Yingjun",,author,CIDR_17_014
"Xian, Ran",,author,CIDR_17_014
"Zhang, Tieying",@cs.cmu.edu,author,CIDR_17_014
"Siddiqui, Tarique",@illinois.edu,author,CIDR_17_015
"Lee, John",,author,CIDR_17_015
"Kim, Albert",,author,CIDR_17_015
"Xue, Edward",@ed.ac.uk,author,CIDR_17_015
"Yu, Xiaofo",,author,CIDR_17_015
"Zou, Sean",,author,CIDR_17_015
"Guo, Lijin",,author,CIDR_17_015
"Liu, Changfeng",,author,CIDR_17_015
"Wang, Chaoran",@illinois.edu,author,CIDR_17_015
"Karahalios, Karrie",@cs.uiuc.edu,author,CIDR_17_015
"Parameswaran, Aditya",@cs.stanford.edu,author,CIDR_17_015
"Wu, Eugene",@cs.columbia.edu,author,CIDR_17_016
"Psallidas, Fotis",@columbia.edu,author,CIDR_17_016
"Miao, Zhengjie",,author,CIDR_17_016
"Zhang, Haoci",,author,CIDR_17_016
"Rettig, Laura",@unifr.ch,author,CIDR_17_016
"Wu, Yifan",@berkeley.edu,author,CIDR_17_016
"Sellam, Thibault",@cs.columbia.edu,author,CIDR_17_016
"John, Rogers Jeffrey Leo",@columbia.edu,author,CIDR_17_017
"Potti, Navneet",@cs.wisc.edu,author,CIDR_17_017
"Patel, Jignesh M.",@cs.wisc.edu,author,CIDR_17_017
"Mavlyutov, Ruslan",@exascale.info,author,CIDR_17_018
"Curino, Carlo",@microsoft.com,author,CIDR_17_018
"Asipov, Boris",,author,CIDR_17_018
"Cudre-Mauroux, Philippe",@unifr.ch,author,CIDR_17_018
"Wagner, James",,author,CIDR_17_019
"Rasin, Alexander",@cdm.depaul.edu,author,CIDR_17_019
"Malik, Tanu",@cdm.depaul.edu,author,CIDR_17_019
"Heart, Karen",,author,CIDR_17_019
"Jehle, Hugo",,author,CIDR_17_019
"Grier, Jonathan",,author,CIDR_17_019
