key,linked,unreleased,expired,badge,evaluated,location
HPDC_17_014,True,False,True,False,False,Other
HPDC_17_017,True,False,False,False,False,Repository
HPDC_17_019,True,False,False,False,False,Repository
HotCloud_17_015,True,False,False,False,False,Repository
HotCloud_17_016,False,False,False,False,False,Repository
HotCloud_17_018,True,False,False,False,False,Repository
HotStorage_17_001,True,False,False,False,False,Repository
HotStorage_17_006,False,False,False,False,False,Repository
ATC_17_001,True,False,True,False,False,Academic
ATC_17_002,True,False,False,False,False,Other
ATC_17_003,True,False,True,False,False,Other
ATC_17_005,True,False,False,False,False,Repository
ATC_17_007,True,False,False,False,False,Repository
ATC_17_008,True,False,False,False,False,Repository
ATC_17_011,True,False,False,False,False,Academic
ATC_17_012,False,False,False,False,False,Repository
ATC_17_013,True,False,False,False,False,Repository
ATC_17_014,False,False,False,False,False,Repository
ATC_17_017,True,False,False,False,False,Repository
ATC_17_019,True,False,False,False,False,Repository
ATC_17_021,False,False,False,False,False,Repository
ATC_17_025,True,False,False,False,False,Repository
ATC_17_028,False,False,False,False,False,Repository
ATC_17_029,True,False,False,False,False,Repository
ATC_17_033,True,False,False,False,False,Repository
ATC_17_034,True,False,False,False,False,Repository
ATC_17_035,True,False,False,False,False,Academic
ATC_17_038,True,False,False,False,False,Repository
ATC_17_039,True,False,False,False,False,Repository
ATC_17_040,True,False,False,False,False,Repository
ATC_17_042,True,False,False,False,False,Repository
ATC_17_043,True,False,False,False,False,Academic
ATC_17_045,True,False,False,False,False,Repository
ATC_17_046,True,False,False,False,False,Repository
ATC_17_047,False,False,False,False,False,Repository
ATC_17_048,True,False,False,False,False,Repository
ATC_17_049,True,False,False,False,False,Repository
ATC_17_050,True,False,False,False,False,Repository
ATC_17_056,True,False,False,False,False,Repository
ATC_17_058,False,False,False,False,False,Repository
ATC_17_060,True,False,False,False,False,Other
SPAA_17_023,True,False,False,False,False,Repository
SPAA_17_028,True,False,False,False,False,Other
PODC_17_036,True,False,False,False,False,Repository
ICPP_17_001,True,False,False,False,False,Academic
ICPP_17_005,True,False,False,False,False,Repository
ICPP_17_011,True,False,False,False,False,Repository
ICPP_17_012,True,False,False,False,False,Other
ICPP_17_025,True,False,False,False,False,Repository
ICPP_17_036,True,False,False,False,False,Repository
ICPP_17_039,True,False,False,False,False,Other
ICPP_17_055,True,False,False,False,False,Repository
ICPP_17_056,True,False,False,False,False,Other
SIGCOMM_17_004,True,False,False,False,False,Repository
SIGCOMM_17_005,True,False,False,False,False,Repository
SIGCOMM_17_008,True,False,False,False,False,Repository
SIGCOMM_17_011,True,False,False,False,False,Repository
SIGCOMM_17_014,True,False,False,False,False,Academic
SIGCOMM_17_016,True,False,False,False,False,Academic
SIGCOMM_17_018,True,False,False,False,False,Other
SIGCOMM_17_022,True,False,False,False,False,Repository
SIGCOMM_17_023,True,False,False,False,False,Repository
SIGCOMM_17_030,True,False,False,False,False,Academic
SIGCOMM_17_031,True,False,True,False,False,Academic
SIGCOMM_17_032,True,False,False,False,False,Repository
EuroPar_17_001,True,False,False,False,False,Repository
EuroPar_17_005,True,False,False,False,False,Repository
EuroPar_17_007,True,False,False,False,False,Repository
EuroPar_17_009,True,False,False,False,False,Repository
EuroPar_17_018,True,False,True,False,False,Academic
EuroPar_17_021,False,False,False,False,False,Repository
EuroPar_17_023,True,False,False,False,False,Repository
EuroPar_17_030,False,False,False,False,False,Other
EuroPar_17_036,True,False,False,False,False,Repository
EuroPar_17_045,True,False,False,False,False,Repository
EuroPar_17_047,True,False,False,False,False,Repository
EuroPar_17_049,True,False,False,False,False,Repository
Cluster_17_006,True,False,False,False,False,Repository
Cluster_17_010,True,False,False,False,False,Other
Cluster_17_019,True,False,False,False,False,Repository
Cluster_17_021,True,False,False,False,False,Repository
Cluster_17_026,True,False,True,False,False,Repository
Cluster_17_028,True,False,False,False,False,Repository
Cluster_17_032,True,False,False,False,False,Repository
Cluster_17_033,True,False,False,False,False,Repository
Cluster_17_047,True,False,True,False,False,Other
Cluster_17_050,True,False,False,False,False,Repository
Cluster_17_051,True,False,False,False,False,Repository
Cluster_17_052,True,False,False,False,False,Repository
Cluster_17_060,True,False,False,False,False,Academic
PACT_17_001,True,False,False,False,True,Repository
PACT_17_003,True,False,False,False,True,Repository
PACT_17_012,False,False,False,False,False,Repository
PACT_17_015,True,False,False,False,True,Repository
PACT_17_016,False,True,True,False,True,
PACT_17_023,False,True,True,False,True,
MASCOTS_17_001,True,False,False,False,False,Repository
MASCOTS_17_012,True,False,False,False,False,Repository
SOCC_17_005,True,False,False,False,False,Repository
SOCC_17_006,True,False,False,False,False,Repository
SOCC_17_007,True,False,False,False,False,Repository
SOCC_17_008,True,False,False,False,False,Repository
SOCC_17_010,True,False,False,False,False,Academic
SOCC_17_012,True,False,False,False,False,Repository
SOCC_17_014,True,False,False,False,False,Repository
SOCC_17_018,True,False,False,False,False,Repository
SOCC_17_019,True,False,True,False,False,Academic
SOCC_17_022,False,False,False,False,False,Repository
SOCC_17_024,True,False,False,False,False,Repository
SOCC_17_025,True,False,False,False,False,Repository
SOCC_17_026,True,False,False,False,False,Academic
SOCC_17_030,True,False,False,False,False,Other
SOCC_17_032,True,False,False,False,False,Repository
SOCC_17_036,True,False,False,False,False,Repository
SOCC_17_044,True,False,False,False,False,Repository
IISWC_17_008,True,False,False,False,False,Academic
IISWC_17_009,True,False,False,False,False,Academic
IISWC_17_028,True,False,False,False,False,Other
IISWC_17_029,True,False,False,False,False,Repository
IISWC_17_030,True,False,False,False,False,Repository
SP_17_006,True,False,False,False,False,Other
SP_17_007,True,False,False,False,False,Repository
SP_17_009,True,False,False,False,False,Other
SP_17_011,False,False,False,False,False,Repository
SP_17_012,True,False,False,False,False,Repository
SP_17_014,True,False,False,False,False,Other
SP_17_015,True,False,False,False,False,Repository
SP_17_016,True,False,False,False,False,Repository
SP_17_017,True,False,False,False,False,Academic
SP_17_020,True,False,True,False,False,Repository
SP_17_022,True,False,False,False,False,Repository
SP_17_023,True,False,False,False,False,Repository
SP_17_027,True,False,False,False,False,Repository
SP_17_030,True,False,False,False,False,Repository
SP_17_035,True,False,False,False,False,Repository
SP_17_036,True,False,False,False,False,Repository
SP_17_037,True,False,False,False,False,Repository
SP_17_042,True,False,False,False,False,Academic
SP_17_043,True,False,False,False,False,Repository
SP_17_044,True,False,False,False,False,Repository
SP_17_053,True,False,False,False,False,Other
SP_17_055,True,False,False,False,False,Other
SP_17_056,True,False,False,False,False,Repository
MICRO_17_001,True,False,False,False,False,Repository
MICRO_17_005,True,False,True,False,False,Repository
MICRO_17_008,True,False,False,False,False,Repository
MICRO_17_017,True,False,False,False,False,Repository
MICRO_17_036,True,False,False,False,False,Repository
MICRO_17_037,True,False,True,False,False,Repository
MICRO_17_046,False,False,False,False,False,Repository
MICRO_17_049,True,False,False,False,False,Repository
MobiCom_17_001,True,False,False,False,False,Academic
MobiCom_17_005,True,False,False,False,False,Repository
MobiCom_17_029,False,False,False,False,False,Repository
ICAC_17_003,True,False,False,False,False,Repository
ICAC_17_006,False,False,False,False,False,Repository
CCS_17_001,False,False,False,True,False,Repository
CCS_17_002,True,False,False,True,False,Repository
CCS_17_003,True,False,False,True,False,Repository
CCS_17_007,False,False,False,False,False,Repository
CCS_17_008,True,False,False,False,False,Repository
CCS_17_009,False,False,False,False,False,Repository
CCS_17_011,True,False,False,True,False,Other
CCS_17_012,True,False,False,False,False,Repository
CCS_17_014,True,False,False,True,False,Repository
CCS_17_015,True,False,False,True,False,Repository
CCS_17_016,True,False,False,True,False,Repository
CCS_17_021,True,False,False,True,False,Other
CCS_17_022,True,False,False,False,False,Other
CCS_17_025,True,False,True,True,False,Academic
CCS_17_026,True,False,False,True,False,Other
CCS_17_028,True,False,False,True,False,Repository
